'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'[17:42:00.156 11/09/2023]',-0.9391261,0.2450105,66.28332,1.503836E-06,24.33877,30.27353,36.17721,6.559203
'[17:42:00.164 11/09/2023]',1.502841,-1.659542,141.3772,9.649735E-08,11.68346,29.22065,63.1436,58.18174
'[17:42:00.172 11/09/2023]',-1.130031,-0.4456419,79.0974,-8.764854E-08,-1.539927,6.294534,22.61289,23.63371
'[17:42:00.180 11/09/2023]',0.3109111,4.208469,-37.79747,2.770174E-08,-9.374161,-9.586481,-116.8964,-43.46799
'[17:42:00.188 11/09/2023]',-44.6165,-17.08782,-1662.539,-6.74792E-09,-265.6382,-410.8266,-1315.336,-1282.949
'[17:42:00.196 11/09/2023]',-17.24063,-6.56378,-981.9607,1.378238E-09,-26.61974,-148.1302,-666.676,-589.8192
'[17:42:00.204 11/09/2023]',21.88603,14.73944,129.5052,-2.648751E-10,111.7846,91.07047,-0.1135404,1.892144
'[17:42:00.212 11/09/2023]',14.29893,9.942556,312.6273,2.390226E-11,69.2899,91.63303,168.537,132.9054
'[17:42:00.220 11/09/2023]',0.9250743,2.21472,124.3424,-1.927566E-11,16.26527,25.40468,31.70444,113.6085
'[17:42:00.228 11/09/2023]',5.549979,1.993829,205.4034,-2.063257E-11,16.75761,32.68002,161.3911,93.91682
'[17:42:00.236 11/09/2023]',9.82333,6.774265,197.9807,5.817823E-12,28.47591,46.92419,161.3366,182.8369
'[17:42:00.244 11/09/2023]',-9.765574,-9.146464,111.3292,2.71577E-12,-14.00777,4.008985,90.58517,76.40306
'[17:42:00.252 11/09/2023]',-3.427633,-4.299147,-142.1819,1.162078E-11,-65.36833,-67.73013,-30.34179,-21.74232
'[17:42:00.260 11/09/2023]',-26.95765,-10.73823,-319.8465,4.00828E-12,-91.57893,-109.5987,-186.8766,-214.5919
'[17:42:00.268 11/09/2023]',1.150203,0.9234198,-96.38562,6.276047E-13,18.13238,-1.585858,-177.6115,-148.7326
'[17:42:00.276 11/09/2023]',15.52095,9.335772,232.8425,2.130202E-12,55.32575,73.58598,68.20977,111.5938
'[17:42:00.284 11/09/2023]',21.09348,12.0141,425.9369,-1.124015E-11,64.88042,104.8377,319.3444,250.253
'[17:42:00.292 11/09/2023]',10.16557,3.484241,313.6657,2.156769E-12,15.46936,50.00764,226.2881,169.0953
'[17:42:00.300 11/09/2023]',-1.346104,1.675926,5.303394,-5.815353E-12,-33.06869,-24.22797,51.03295,30.6776
'[17:42:00.308 11/09/2023]',-10.6657,-5.306816,-275.211,-1.473684E-11,-45.61356,-76.4584,-149.5933,-122.3764
'[17:42:00.316 11/09/2023]',-10.15984,-4.240632,-363.9163,-2.156769E-12,-27.26886,-68.58521,-205.1195,-176.3
'[17:42:00.324 11/09/2023]',-0.5933352,-2.174039,-113.4571,1.484377E-14,20.73996,1.408998,-105.3482,-71.52953
'[17:42:00.332 11/09/2023]',7.347617,2.391254,177.5267,-1.682517E-11,46.30909,62.29436,66.16177,67.84513
'[17:42:00.340 11/09/2023]',8.908373,5.368415,356.5658,-2.246291E-12,43.38275,76.53876,209.8425,171.8488
'[17:42:00.348 11/09/2023]',11.64055,4.093823,185.1938,-3.294536E-15,-7.046545,22.31563,116.2925,100.282
'[17:42:00.356 11/09/2023]',0.3186937,3.429608,-21.61984,5.301523E-13,-24.95826,-22.02424,15.90192,23.6939
'[17:42:00.364 11/09/2023]',-7.793282,-3.155501,-140.7954,8.101568E-12,-14.83539,-32.76549,-55.04093,-52.22838
'[17:42:00.372 11/09/2023]',-3.83624,-2.222203,-98.77335,1.181056E-12,6.238825,-8.791316,-86.94347,-81.41985
'[17:42:00.380 11/09/2023]',-4.2597,-3.739576,-33.11379,1.473684E-11,20.23717,8.470398,-13.04747,3.497864
'[17:42:00.388 11/09/2023]',5.014009,-0.8479811,51.18726,2.468351E-11,32.67004,26.82967,26.80853,53.50832
'[17:42:00.396 11/09/2023]',-14.56797,-3.102004,-100.4783,2.146062E-12,7.693161,-9.661401,-29.74955,-10.86324
'[17:42:00.404 11/09/2023]',-0.2770061,-0.9381526,15.87137,-3.294536E-15,12.38198,12.06976,-39.40499,-15.11441
'[17:42:00.412 11/09/2023]',0.5095271,2.752836,-57.21353,-4.008519E-12,0.2776466,-6.261995,-75.59326,-53.44847
'[17:42:00.420 11/09/2023]',-15.54124,-9.481245,-441.8365,-2.468351E-11,-35.30767,-84.97639,-253.0592,-194.1693
'[17:42:00.428 11/09/2023]',-0.4007461,-2.00966,-108.3838,2.468351E-11,13.02414,-0.4289781,-58.05331,-41.54514
'[17:42:00.436 11/09/2023]',2.695855,0.2347248,109.179,1.161797E-11,24.95184,29.73301,50.25188,61.4403
'[17:42:00.444 11/09/2023]',-15.20079,-5.030224,72.60208,-3.03929E-39,7.946653,20.38823,57.1534,41.90496
'[17:42:00.452 11/09/2023]',9.792694,6.129087,3.437186,7.511903E-12,-2.200371,-0.3040887,11.44235,5.113831
'[17:42:00.460 11/09/2023]',-0.2743776,-1.260275,109.0018,1.122901E-11,19.7535,22.9536,100.7132,91.87409
'[17:42:00.468 11/09/2023]',4.36025,1.537542,135.2112,-7.62394E-12,8.749357,28.98447,73.02517,45.31132
'[17:42:00.476 11/09/2023]',-0.05783318,3.087197,33.3458,-3.85288E-12,-8.541063,-1.830662,66.26738,35.46095
'[17:42:00.484 11/09/2023]',2.496848,-0.5684118,-94.8858,3.96748E-12,-18.7998,-24.45022,-7.470959,11.00931
'[17:42:00.492 11/09/2023]',-4.571577,-3.910777,-184.7797,-1.341672E-11,-7.954504,-32.01267,-115.6541,-87.47879
'[17:42:00.500 11/09/2023]',0.07100322,0.7274249,-70.96973,1.473684E-11,6.035163,-1.437259,-52.61494,-41.12156
'[17:42:00.508 11/09/2023]',3.323178,2.332467,74.70721,-3.137175E-12,22.54131,21.45479,9.362832,-1.713496
'[17:42:00.516 11/09/2023]',-27.11138,-23.23257,-215.7412,-1.473684E-11,-120.3898,-87.11224,-295.9834,-616.8889
'[17:42:00.524 11/09/2023]',13.34084,12.10245,-66.76303,-3.294536E-15,15.99339,-4.991756,-84.48661,-150.5025
'[17:42:00.532 11/09/2023]',10.24355,9.368192,-81.29414,1.156377E-11,46.07788,10.60036,-57.09457,-24.96462
'[17:42:00.540 11/09/2023]',4.441298,5.253222,5.394376,-1.848528E-12,28.05507,13.18023,34.05887,90.41877
'[17:42:00.548 11/09/2023]',2.048616,4.084265,-11.23956,-3.137175E-12,13.72234,5.928536,5.310123,10.52928
'[17:42:00.556 11/09/2023]',5.592215,4.187888,18.9025,-9.224718E-12,13.85197,13.60334,2.869886,11.63686
'[17:42:00.564 11/09/2023]',9.112072,5.493166,131.0856,1.842076E-11,40.4453,43.71455,115.2832,163.291
'[17:42:00.572 11/09/2023]',-4.819761,-4.325252,66.88919,-1.122901E-11,-3.018486,5.378463,48.79629,61.66473
'[17:42:00.580 11/09/2023]',-6.936244,-7.352689,-17.24192,-1.124015E-11,-46.11574,-30.66712,1.282398,-17.61612
'[17:42:00.588 11/09/2023]',-20.23031,-10.86812,-102.7734,-4.008519E-12,-38.43347,-33.61903,-76.61017,-127.0574
'[17:42:00.596 11/09/2023]',-3.960487,-1.226509,-94.31515,3.137175E-12,-15.77273,-17.34761,-78.1108,-118.3659
'[17:42:00.604 11/09/2023]',11.83761,6.729022,-39.04025,1.682517E-11,34.49315,13.45391,-43.58451,-40.2977
'[17:42:00.612 11/09/2023]',9.811923,10.89031,64.12447,2.717939E-12,41.63967,38.23884,62.68895,83.86594
'[17:42:00.620 11/09/2023]',3.561778,0.8521056,104.9646,1.682517E-11,14.31723,14.57375,75.98895,143.7304
'[17:42:00.628 11/09/2023]',-4.704161,-1.756379,53.90972,-7.820602E-12,-13.14616,-0.5416741,41.927,44.89352
'[17:42:00.636 11/09/2023]',-0.07308321,-5.202655,56.80205,-9.580193E-12,-20.22776,2.244957,41.72049,2.515382
'[17:42:00.644 11/09/2023]',-4.026187,-6.451297,40.39761,-9.580193E-12,-1.73894,1.970936,-9.218841,-23.74327
'[17:42:00.652 11/09/2023]',1.481021,2.351104,-3.432856,7.820602E-12,17.93555,12.01561,-6.752301,-36.1422
'[17:42:00.660 11/09/2023]',-5.930211,0.2015006,-4.853496,3.137175E-12,29.42629,18.90364,-38.84273,-3.381802
'[17:42:00.668 11/09/2023]',2.244869,2.959783,-2.016064,-5.301523E-13,1.351536,-1.065798,9.708436,2.217093
'[17:42:00.676 11/09/2023]',-2.050476,-1.166309,17.95881,-1.156377E-11,3.31548,9.498758,-10.14568,-7.755007
'[17:42:00.684 11/09/2023]',6.918743,3.070245,234.7848,3.294536E-15,39.09769,63.54846,117.7573,58.06424
'[17:42:00.692 11/09/2023]',-0.370391,-1.557189,110.3465,-1.491649E-12,9.070257,26.73998,77.52394,81.12688
'[17:42:00.700 11/09/2023]',-2.951432,-0.6061904,-54.27071,9.224718E-12,-11.16677,-20.12652,-26.75646,-19.26605
'[17:42:00.708 11/09/2023]',-4.764615,4.39472,-442.8687,0,-88.43195,-123.0548,-185.5007,-156.8942
'[17:42:00.716 11/09/2023]',-2.22174,-0.03852377,-226.5721,0,-67.71387,-87.52162,-102.0598,-120.1231
'[17:42:00.724 11/09/2023]',-12.02863,-8.817685,-351.5797,0,-34.74464,-74.15083,-151.8221,-124.5034
'[17:42:00.732 11/09/2023]',-7.722589,-4.876421,-112.7742,-1.518422E-11,4.533406,-15.49367,-97.13625,-72.78323
'[17:42:00.740 11/09/2023]',2.060378,0.9454058,-2.163291,1.122901E-11,13.18288,9.80248,22.28701,23.67804
'[17:42:00.748 11/09/2023]',-2.953355,1.09348,-30.58392,-7.229935E-12,8.723498,-5.421596,-1.797925,30.52903
'[17:42:00.756 11/09/2023]',2.279213,0.7170506,-2.226991,6.614118E-12,10.83819,8.611423,22.3498,10.62797
'[17:42:00.764 11/09/2023]',1.72822,0.2792243,103.5881,-3.137175E-12,27.40574,23.45554,97.09726,47.48265
'[17:42:00.772 11/09/2023]',1.854093,-2.063241,220.27,7.62394E-12,0.3031747,67.96337,129.3961,135.2983
'[17:42:00.780 11/09/2023]',0.05221203,-1.909803,47.14634,9.692061E-12,5.283245,-6.794423,84.20918,19.76966
'[17:42:00.788 11/09/2023]',-2.56967,2.991061,-137.2374,3.96748E-12,-22.45315,-34.35126,-83.35924,-60.49019
'[17:42:00.796 11/09/2023]',-3.906477,-1.447304,-171.515,0,-27.20712,-33.61535,-71.41379,-51.02218
'[17:42:00.804 11/09/2023]',0.2417639,-1.719172,-75.72389,1.175071E-11,0.716297,-12.34587,-84.55812,-16.59991
'[17:42:00.812 11/09/2023]',3.467512,0.1479857,14.62192,-5.301523E-13,20.25648,20.24314,2.80643,-9.079574
'[17:42:00.820 11/09/2023]',0.9364787,-0.1579711,57.53116,1.455289E-11,0.7343197,13.14713,19.94022,14.88013
'[17:42:00.828 11/09/2023]',2.724296,3.856426,-12.54017,1.455289E-11,-12.92372,-3.641553,100.06,-20.08233
'[17:42:00.836 11/09/2023]',1.739612,2.091216,15.99963,-7.715452E-12,1.443959,4.420526,-9.198014,-19.63892
'[17:42:00.844 11/09/2023]',-2.211071,1.494788,-67.40308,-1.799343E-12,-3.557064,-17.35326,-51.41253,-7.009053
'[17:42:00.852 11/09/2023]',-2.476212,-2.815166,-59.4296,1.518738E-11,-1.387641,-10.96481,-42.72572,-22.22562
'[17:42:00.860 11/09/2023]',2.28527,0.5165976,124.382,8.008041E-13,10.77475,29.12703,78.42851,94.86118
'[17:42:00.868 11/09/2023]',1.14521,-1.446814,180.9268,-9.224718E-12,14.16899,40.77016,62.70149,17.16058
'[17:42:00.876 11/09/2023]',3.664034,-0.5267935,82.22514,-9.224718E-12,9.352357,13.22534,98.53542,82.2493
'[17:42:00.884 11/09/2023]',-0.989831,0.5271138,-32.79027,0,-6.213609,-11.28153,-42.40845,-48.97922
'[17:42:00.892 11/09/2023]',-0.5921181,-0.1065318,-4.926675,-7.229935E-12,-1.46268,-1.322284,39.56357,40.43511
'[17:42:00.900 11/09/2023]',1.701736,-0.9285227,-10.94939,-8.200284E-12,1.874417,-1.588436,-18.32758,-14.78043
'[17:42:00.908 11/09/2023]',-1.427303,1.903978,16.19561,1.341672E-11,8.790204,3.374269,6.237305,4.407521
'[17:42:00.916 11/09/2023]',0.0706744,-1.236825,-10.06004,6.614118E-12,-3.471641,-5.327579,-19.01128,-18.7815
'[17:42:00.924 11/09/2023]',-0.9478015,-1.845227,-11.15916,-1.156377E-11,-1.186964,1.268926,-5.990382,3.521457
'[17:42:00.932 11/09/2023]',-1.203028,-0.2167491,6.320302,-1.161797E-11,6.79798,4.581948,21.43451,23.01306
'[17:42:00.940 11/09/2023]',-0.4320152,-2.077846,-22.56868,0,-5.787274,0.006744034,-25.28622,-32.15436
'[17:42:00.948 11/09/2023]',7.286812,2.834938,55.44893,-1.842076E-11,6.490702,13.59286,51.19621,58.4445
'[17:42:00.956 11/09/2023]',-0.9005011,-0.009879971,-15.02131,-1.848528E-12,-3.153052,-5.264827,-14.78482,-28.47862
'[17:42:00.964 11/09/2023]',2.304835,5.033777,-3.092111,-1.161797E-11,0.5384861,0.4090744,-10.05402,-12.62245
'[17:42:00.972 11/09/2023]',3.009139,-0.8179904,12.72872,0,-6.637996,-3.251668,35.69251,28.09996
'[17:42:00.980 11/09/2023]',-1.720439,-2.681144,-6.617029,-1.341672E-11,-6.283549,-6.813179,5.415791,10.74783
'[17:42:00.988 11/09/2023]',4.149067,2.083786,34.43706,-1.473684E-11,6.011233,8.568026,40.00012,48.15919
'[17:42:00.996 11/09/2023]',1.48019,2.605631,3.225861,1.842076E-11,1.58431,2.392059,-0.3127167,24.37668
'[17:42:01.004 11/09/2023]',-0.8240731,0.6814355,-2.978668,-8.200284E-12,4.965612,4.537939,9.03655,-21.76428
'[17:42:01.012 11/09/2023]',0.8607215,-0.973913,-16.49909,6.276356E-13,-5.928161,-8.894464,-42.37183,-23.40421
'[17:42:01.020 11/09/2023]',-1.242143,-0.03525539,-0.5291759,-7.820602E-12,-0.8583318,1.67542,-12.09687,-40.69083
'[17:42:01.028 11/09/2023]',4.225358,1.230524,15.66661,7.293692E-12,1.851259,-0.5008591,29.00532,62.28126
'[17:42:01.036 11/09/2023]',2.447012,5.143062,-10.38512,-1.848528E-12,6.121427,-3.033313,-23.85342,-26.49795
'[17:42:01.044 11/09/2023]',-2.110134,2.727491,7.695565,-8.200284E-12,3.47709,6.991973,27.68569,27.77844
'[17:42:01.052 11/09/2023]',-0.2700582,-0.6082079,-17.4665,-5.815353E-12,-2.491408,-2.301683,-25.05974,-7.179792
'[17:42:01.060 11/09/2023]',1.647716,2.825557,-13.37447,-2.130203E-12,-4.292027,-0.313475,-10.25552,-26.39107
'[17:42:01.068 11/09/2023]',-3.02668,-0.9065589,4.538385,1.799343E-12,2.062093,-3.076422,2.29862,2.214616
'[17:42:01.076 11/09/2023]',0.4613018,0.4104837,-4.599454,-1.473684E-11,-3.405503,-3.201628,-16.7438,-4.022428
'[17:42:01.084 11/09/2023]',-2.021355,0.3683849,-22.82752,-7.28376E-12,-7.942058,-6.824998,-19.53545,-24.61887
'[17:42:01.092 11/09/2023]',0.6875283,1.661523,45.24628,-9.692061E-12,15.50963,18.21518,82.62011,81.82653
'[17:42:01.100 11/09/2023]',4.017865,3.086772,-7.590416,-5.062676E-12,4.625551,3.65022,-11.15117,4.465825
'[17:42:01.108 11/09/2023]',59.27298,35.10595,744.4916,0,221.1023,246.6589,457.8847,486.7776
'[17:42:01.116 11/09/2023]',14.00897,4.155702,809.8282,1.341672E-11,88.68935,173.081,542.8352,492.5709
'[17:42:01.124 11/09/2023]',-1.313265,-2.340578,208.6043,1.341672E-11,-19.14722,15.20354,190.9931,147.4514
'[17:42:01.132 11/09/2023]',-5.847681,-4.592999,-75.24267,1.341672E-11,-34.38617,-31.9014,-33.23421,-3.398851
'[17:42:01.140 11/09/2023]',-1.416318,-1.646697,-31.4772,1.341672E-11,2.235993,-6.489776,-11.8315,-152.9819
'[17:42:01.148 11/09/2023]',-0.09099805,-0.3814343,18.8097,1.341672E-11,-12.08838,-4.921649,47.39727,106.0451
'[17:42:01.156 11/09/2023]',-23.48207,-7.460558,-116.987,1.341672E-11,-38.84674,-40.69944,-23.19482,-29.63076
'[17:42:01.164 11/09/2023]',-3.40824,-2.414341,-273.4368,1.341672E-11,-35.54752,-66.50158,-183.6199,-183.2734
'[17:42:01.172 11/09/2023]',1.014064,-0.3876984,-134.1377,1.341672E-11,16.60153,-9.342133,-94.17076,-92.21438
'[17:42:01.180 11/09/2023]',6.644021,4.674716,166.6226,1.341672E-11,53.13681,64.08395,70.08064,115.7591
'[17:42:01.188 11/09/2023]',9.863258,3.195836,291.1951,1.341672E-11,37.70401,66.21378,169.3221,-5.577672
'[17:42:01.196 11/09/2023]',-1.140338,-3.048149,154.2557,1.341672E-11,-8.997818,17.25892,129.522,261.3739
'[17:42:01.204 11/09/2023]',-6.914428,-4.105559,-118.3988,1.341672E-11,-47.32159,-44.09941,-63.60443,-165.8192
'[17:42:01.212 11/09/2023]',-8.396607,-6.246661,-216.2964,1.341672E-11,-31.63358,-57.38224,-130.9163,-5.407467
'[17:42:01.220 11/09/2023]',-4.580921,1.698971,-174.2214,1.341672E-11,-6.474936,-34.32099,-181.9498,-235.7963
'[17:42:01.228 11/09/2023]',1.928361,1.064366,24.57519,1.341672E-11,22.89817,16.21942,-14.88286,2.99175
'[17:42:01.236 11/09/2023]',4.981146,0.7393527,107.5087,1.341672E-11,19.52411,29.81058,36.45325,55.81318
'[17:42:01.244 11/09/2023]',-2.502034,-4.804241,107.3826,1.341672E-11,6.205584,13.90359,63.68793,64.28898
'[17:42:01.252 11/09/2023]',-0.06148757,0.02254527,11.57043,1.341672E-11,-12.47188,-2.815516,11.2344,61.65938
'[17:42:01.260 11/09/2023]',-0.8386111,-0.9888738,-51.78345,1.341672E-11,-8.082068,-9.39519,-40.94625,-85.244
'[17:42:01.268 11/09/2023]',-0.6234667,-0.04179438,-29.65947,1.341672E-11,-2.97495,-1.747607,-4.68447,17.66045
'[17:42:01.276 11/09/2023]',-2.219945,-0.3412375,-13.49063,1.341672E-11,-6.363656,-1.760671,0.6281132,2.731882
'[17:42:01.284 11/09/2023]',5.319495,5.067371,12.2782,1.341672E-11,7.856009,8.904688,-2.822964,10.99349
'[17:42:01.292 11/09/2023]',2.706386,2.953723,-9.215226,1.341672E-11,2.999159,-0.2194793,-14.48728,-28.1437
'[17:42:01.300 11/09/2023]',-0.8302864,-0.09827252,5.782529,1.341672E-11,4.355986,1.95964,7.55815,15.7575
'[17:42:01.308 11/09/2023]',0.148598,3.659005,-24.15318,1.341672E-11,3.679004,-1.306473,-43.22115,-42.75665
'[17:42:01.316 11/09/2023]',-1.095605,4.312785,-4.687627,1.341672E-11,-2.317196,0.1973505,-21.54744,-26.71954
'[17:42:01.324 11/09/2023]',-2.83712,-2.069756,7.612783,1.341672E-11,-5.558704,-4.792224,-3.049712,13.28313
'[17:42:01.332 11/09/2023]',1.461051,3.577717,7.385419,1.341672E-11,1.62511,4.691975,2.501895,-4.900796
'[17:42:01.340 11/09/2023]',4.833043,3.184152,9.828,1.341672E-11,-4.657578,-2.308356,16.78543,18.57505
'[17:42:01.348 11/09/2023]',3.745612,2.295792,13.82706,1.341672E-11,1.859411,4.9965,36.64943,26.19815
'[17:42:01.356 11/09/2023]',3.92519,-0.0372141,8.739542,1.341672E-11,9.836313,4.795349,9.48666,-4.145741
'[17:42:01.364 11/09/2023]',7.828316,1.717201,-1.166166,1.341672E-11,-4.261191,-5.041277,-12.01509,-12.29876
'[17:42:01.372 11/09/2023]',-2.262567,1.427472,40.15445,1.341672E-11,6.447625,5.358517,37.39731,42.63569
'[17:42:01.380 11/09/2023]',-3.928791,-3.072027,12.26896,1.341672E-11,4.645562,3.598709,21.80245,5.847504
'[17:42:01.388 11/09/2023]',-0.5376769,0.8615114,-8.698035,1.341672E-11,1.272786,0.6663107,4.279597,11.22385
'[17:42:01.396 11/09/2023]',-13.74303,-2.629903,91.14254,1.341672E-11,18.96715,28.24562,83.30776,72.49989
'[17:42:01.404 11/09/2023]',8.911646,2.909875,130.1238,1.341672E-11,19.97445,32.96073,103.095,107.3066
'[17:42:01.412 11/09/2023]',2.069493,1.692349,90.20115,1.341672E-11,6.00758,17.94597,69.66991,77.73639
'[17:42:01.420 11/09/2023]',-3.548604,-4.501806,-32.04084,1.341672E-11,-19.52839,-18.77036,-56.40775,-66.83299
'[17:42:01.428 11/09/2023]',-5.817505,-6.234762,-60.36263,1.341672E-11,-7.415299,-19.87301,-63.89333,-55.56726
'[17:42:01.436 11/09/2023]',-0.6509884,9.346037,10.56239,1.341672E-11,3.87998,5.370111,21.50498,24.01432
'[17:42:01.444 11/09/2023]',0.2856787,-0.1785903,-32.0594,1.341672E-11,-5.240415,-9.187203,-46.41383,-63.67955
'[17:42:01.452 11/09/2023]',-5.247343,-1.79214,-36.37658,1.341672E-11,-9.400124,-14.53316,-35.84049,-31.29848
'[17:42:01.460 11/09/2023]',-3.461509,-1.245035,-19.82369,1.341672E-11,0.2259696,2.384344,17.08867,26.30579
'[17:42:01.468 11/09/2023]',5.600045,3.857516,33.82071,1.341672E-11,13.47789,16.20635,42.13374,49.96833
'[17:42:01.476 11/09/2023]',-3.16153,0.1301077,39.90375,1.341672E-11,5.509071,9.28588,23.90454,11.44221
'[17:42:01.484 11/09/2023]',-0.9136046,-0.7781454,30.14968,1.341672E-11,9.002605,7.871997,14.35633,9.67596
'[17:42:01.492 11/09/2023]',0.8339212,3.056634,7.914747,1.341672E-11,0.3765273,2.512298,3.072468,-8.666948
'[17:42:01.500 11/09/2023]',-1.639296,-1.291072,-23.18201,1.341672E-11,-6.111857,-11.76545,-18.91207,-17.27956
'[17:42:01.508 11/09/2023]',2.029871,3.014185,-11.54181,1.341672E-11,-4.34623,0.2393267,-1.560414,-11.17528
'[17:42:01.516 11/09/2023]',4.017462,0.2058326,-9.131186,1.341672E-11,5.503291,2.74083,4.953209,16.42116
'[17:42:01.524 11/09/2023]',1.310724,0.612062,27.63777,1.341672E-11,5.567194,10.38275,59.54374,60.79356
'[17:42:01.532 11/09/2023]',2.360507,0.1929848,26.81237,1.341672E-11,8.799255,13.00072,8.122375,17.36932
'[17:42:01.540 11/09/2023]',-1.925669,-2.420747,28.71521,1.341672E-11,1.523678,4.760819,21.46718,166.7006
'[17:42:01.548 11/09/2023]',-1.653872,-1.429654,-29.56195,1.341672E-11,-3.133209,-5.454755,-36.89922,-43.07906
'[17:42:01.556 11/09/2023]',2.075182,2.496351,-24.94999,1.341672E-11,2.079361,-2.711341,-24.52721,-147.822
'[17:42:01.564 11/09/2023]',-0.3562322,-0.1088682,-41.78174,1.341672E-11,-5.841272,-11.00014,-74.49946,-32.02014
'[17:42:01.572 11/09/2023]',0.01913298,-0.8037241,33.68846,1.341672E-11,2.729692,8.164686,52.92958,39.76152
'[17:42:01.580 11/09/2023]',-1.259737,0.2271176,18.26769,1.341672E-11,-4.867598,-0.2773308,8.590922,13.09093
'[17:42:01.588 11/09/2023]',-3.577713,-1.354506,3.140197,1.341672E-11,-1.481112,3.66931,8.064619,18.96876
'[17:42:01.596 11/09/2023]',-3.731793,-5.218017,5.49407,1.341672E-11,-7.291256,-6.631256,15.17669,13.10363
'[17:42:01.604 11/09/2023]',2.588691,2.225824,-19.46381,1.341672E-11,-0.6270678,-1.124979,-5.380675,14.58819
'[17:42:01.612 11/09/2023]',-2.587145,-2.480971,-8.400388,1.341672E-11,-2.347306,-1.918473,-8.449959,-11.6873
'[17:42:01.620 11/09/2023]',0.8466371,1.168104,-6.384556,1.341672E-11,-2.146319,2.487351,-7.9759,-8.469732
'[17:42:01.628 11/09/2023]',0.6505329,-0.5512138,19.56993,1.341672E-11,-0.01896787,4.853153,21.09848,31.46957
'[17:42:01.636 11/09/2023]',3.231923,2.469128,30.17917,1.341672E-11,5.982018,12.83813,38.21154,31.82611
'[17:42:01.644 11/09/2023]',3.434294,4.657808,18.57335,1.341672E-11,8.359095,4.103542,33.06962,36.60906
'[17:42:01.652 11/09/2023]',-0.9948075,-1.725097,-28.54521,1.341672E-11,0.7097731,-6.305779,-39.36281,-36.79197
'[17:42:01.660 11/09/2023]',-1.073288,-1.55494,-31.71646,1.341672E-11,-2.004391,-9.307945,-45.35314,-19.90077
'[17:42:01.668 11/09/2023]',-1.773285,-3.604688,-12.68991,1.341672E-11,-15.07319,-15.78615,3.022961,4.806365
'[17:42:01.676 11/09/2023]',1.352256,2.83952,29.11643,1.341672E-11,4.234785,7.193509,42.75612,26.50314
'[17:42:01.684 11/09/2023]',2.403437,2.526225,38.18468,1.341672E-11,5.311474,17.32239,75.29506,68.92049
'[17:42:01.692 11/09/2023]',1.334777,-1.106001,-1.482108,1.341672E-11,-1.15977,5.914624,3.665068,-0.0819401
