'Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Event'
0.39,0.1,1.51,2.12,0.24,0.2,4.42,1.67,1.02,0.2,2.79,4.41,1.04,0.45,10.77,4.63,1.91,0.35,8.03,7.62,1.66,0.78,18.67,8.19,2.64,0.87,4.95,10.16,2.22,1.44,15.81,7.94,2.08,0.48,9.4,7.01,3.35,1.6,13.79,5.46,0
0.48,0.1,1.45,2.13,0.23,0.21,4.33,1.73,1.21,0.24,2.9,4.51,1.05,0.44,10.12,4.5,2.29,0.37,7.81,7.51,1.61,0.8,18.01,8.06,3.26,0.91,4.86,10.16,2.28,1.52,15.79,8.19,2.5,0.49,12.58,9.07,4.29,2.14,15.95,6.9,0
0.55,0.11,1.41,2.07,0.23,0.21,4.08,1.74,1.38,0.27,2.94,4.68,1.03,0.42,9.66,4.44,2.66,0.37,7.55,7.35,1.54,0.83,17.21,7.9,3.84,0.94,4.79,10.05,2.38,1.58,15.66,8.46,2.88,0.5,15.6,11.05,5.18,2.65,18.05,8.23,0
0.62,0.12,1.36,1.99,0.24,0.22,3.83,1.75,1.57,0.3,2.96,4.8,1,0.42,9.22,4.41,2.98,0.38,7.27,7.1,1.46,0.85,16.43,7.71,4.4,0.97,4.8,9.83,2.48,1.63,15.47,8.68,3.24,0.51,18.3,12.8,5.99,3.11,19.9,9.43,0
0.68,0.14,1.33,1.97,0.25,0.23,3.68,1.75,1.73,0.32,3.03,4.88,0.99,0.42,8.91,4.4,3.28,0.41,6.94,6.82,1.4,0.88,15.63,7.54,4.93,0.99,5.01,9.66,2.57,1.69,15.34,8.89,3.57,0.53,20.72,14.33,6.74,3.5,21.75,10.51,0
0.71,0.14,1.26,1.93,0.24,0.22,3.53,1.78,1.87,0.34,3.01,4.93,0.97,0.42,8.5,4.38,3.54,0.45,6.62,6.54,1.34,0.9,15.69,7.33,5.41,1.02,5.18,9.54,2.65,1.74,15.32,9.09,3.88,0.55,23.21,15.59,7.46,3.86,23.56,11.58,0
0.76,0.15,1.24,1.96,0.23,0.22,3.57,1.85,1.99,0.36,2.99,4.88,0.95,0.42,8.23,4.39,3.76,0.48,6.3,6.21,1.28,0.91,15.53,7.05,5.87,1.06,5.29,9.3,2.74,1.77,15.07,9.07,4.18,0.57,25.8,17.13,8.21,4.29,25.19,12.68,0
0.8,0.15,1.2,1.89,0.22,0.22,3.4,1.8,2.1,0.38,2.91,4.77,0.93,0.41,7.86,4.32,3.96,0.51,5.95,5.8,1.26,0.92,15.15,6.66,6.29,1.08,5.38,8.98,2.78,1.81,14.67,8.89,4.46,0.59,28.52,18.87,9,4.74,26.71,13.87,0
0.82,0.16,1.15,1.77,0.23,0.21,3.2,1.74,2.22,0.39,2.75,4.61,0.9,0.4,7.41,4.23,4.14,0.52,5.51,5.48,1.22,0.92,14.74,6.3,6.69,1.1,5.33,8.77,2.79,1.83,14.35,8.79,4.72,0.6,31.45,20.73,9.86,5.23,28.1,15.14,0
0.88,0.17,1.1,1.66,0.22,0.2,3.05,1.67,2.29,0.4,2.6,4.4,0.89,0.39,7.02,4.14,4.32,0.54,5.13,5.23,1.17,0.91,14.4,6,7.08,1.12,5.31,8.61,2.81,1.87,14.09,8.68,4.95,0.61,34.58,22.71,10.78,5.75,29.5,16.5,0
0.91,0.16,1.11,1.57,0.21,0.2,2.92,1.63,2.37,0.41,2.43,4.24,0.87,0.38,6.67,4.03,4.51,0.54,4.83,5,1.16,0.91,14.07,5.74,7.44,1.13,5.32,8.56,2.82,1.91,13.86,8.56,5.16,0.63,37.79,24.77,11.72,6.28,30.95,17.91,0
0.94,0.17,1.08,1.47,0.21,0.2,2.72,1.59,2.45,0.42,2.3,4.07,0.84,0.37,6.44,3.96,4.69,0.55,4.52,4.77,1.13,0.92,13.74,5.48,7.78,1.13,5.3,8.49,2.84,1.94,13.6,8.48,5.35,0.69,40.95,26.8,12.65,6.81,32.42,19.3,0
0.97,0.18,1.04,1.37,0.22,0.2,2.57,1.52,2.52,0.43,2.17,3.93,0.81,0.36,6.25,3.88,4.85,0.57,4.23,4.56,1.11,0.92,13.42,5.26,8.09,1.13,5.25,8.42,2.87,1.97,13.33,8.6,5.53,0.74,44.01,28.75,13.56,7.33,33.9,20.63,0
0.99,0.19,1.02,1.32,0.21,0.19,2.41,1.46,2.58,0.44,2.06,3.86,0.78,0.34,6.03,3.85,5.01,0.58,3.94,4.4,1.09,0.91,13.14,5.05,8.38,1.12,5.25,8.34,2.89,1.98,13.06,8.71,5.69,0.8,46.9,30.59,14.4,7.81,35.27,21.88,0
1.01,0.19,1,1.24,0.2,0.2,2.31,1.41,2.64,0.44,1.98,3.76,0.75,0.34,5.81,3.81,5.15,0.59,3.71,4.21,1.08,0.91,12.83,4.83,8.65,1.11,5.22,8.25,2.91,1.99,12.86,8.8,5.84,0.85,49.54,32.26,15.17,8.25,36.52,23.01,0
1.04,0.19,0.97,1.2,0.21,0.2,2.2,1.38,2.7,0.44,1.9,3.7,0.71,0.33,5.53,3.8,5.29,0.6,3.5,4.09,1.08,0.91,12.51,4.65,8.89,1.1,5.25,8.13,2.94,1.99,12.73,8.84,5.97,0.89,51.92,33.75,15.87,8.65,37.71,24.01,0
1.06,0.19,0.91,1.17,0.21,0.2,2.16,1.32,2.75,0.45,1.84,3.58,0.68,0.33,5.32,3.75,5.42,0.62,3.32,3.99,1.07,0.91,12.09,4.45,9.12,1.08,5.26,7.99,2.96,1.97,12.48,8.86,6.09,0.93,54.07,35.12,16.49,9.01,38.76,24.94,0
1.08,0.19,0.88,1.15,0.22,0.2,2.22,1.28,2.79,0.45,1.8,3.49,0.67,0.33,5.24,3.77,5.53,0.63,3.15,3.85,1.06,0.91,11.76,4.32,9.33,1.06,5.24,7.86,2.99,1.96,12.12,8.91,6.21,0.96,55.98,36.31,17.04,9.33,39.75,25.73,0
1.1,0.19,0.85,1.09,0.21,0.19,2.25,1.23,2.84,0.46,1.76,3.35,0.64,0.32,5.13,3.72,5.64,0.64,3,3.76,1.04,0.9,11.49,4.2,9.52,1.07,5.25,7.81,3.03,1.94,11.8,9.03,6.32,0.99,57.7,37.41,17.55,9.63,40.83,26.47,0
1.11,0.19,0.81,1.06,0.22,0.2,2.21,1.2,2.87,0.46,1.71,3.22,0.62,0.33,5.12,3.64,5.73,0.64,2.86,3.68,1.03,0.89,11.12,4.09,9.69,1.09,5.23,7.78,3.06,1.94,11.59,9.14,6.43,1.01,59.26,38.42,18.01,9.9,41.78,27.15,0
1.13,0.19,0.77,1.02,0.23,0.2,2.16,1.16,2.91,0.46,1.63,3.06,0.6,0.33,4.94,3.57,5.81,0.65,2.75,3.65,1,0.89,10.85,3.98,9.84,1.1,5.19,7.67,3.08,1.95,11.57,9.2,6.53,1.04,60.7,39.34,18.44,10.14,42.66,27.78,0
1.15,0.19,0.76,1.02,0.22,0.2,2.12,1.13,2.94,0.46,1.59,2.95,0.58,0.33,4.76,3.5,5.88,0.66,2.62,3.57,0.99,0.88,10.61,3.88,9.97,1.11,5.13,7.5,3.06,1.97,11.52,9.21,6.62,1.07,62.02,40.2,18.83,10.38,43.54,28.36,0
1.16,0.19,0.76,0.97,0.22,0.19,2.13,1.1,2.98,0.47,1.54,2.82,0.57,0.33,4.55,3.42,5.95,0.67,2.52,3.52,0.99,0.87,10.36,3.81,10.1,1.13,5.08,7.37,3.04,1.97,11.45,9.22,6.71,1.09,63.25,41.04,19.21,10.6,44.22,28.93,0
1.17,0.19,0.77,0.92,0.21,0.19,2.11,1.11,3.01,0.48,1.48,2.71,0.56,0.34,4.43,3.34,6.01,0.67,2.43,3.45,0.98,0.87,10.2,3.72,10.21,1.15,5.03,7.23,2.99,1.97,11.23,9.17,6.79,1.12,64.39,41.81,19.56,10.8,44.96,29.47,0
1.18,0.19,0.74,0.89,0.21,0.19,2.03,1.09,3.04,0.48,1.4,2.58,0.54,0.34,4.27,3.22,6.07,0.67,2.39,3.41,0.97,0.86,9.97,3.6,10.31,1.17,4.93,7.18,2.95,1.97,11.13,9.08,6.86,1.14,65.45,42.52,19.88,10.99,45.68,29.95,0
1.19,0.19,0.74,0.88,0.21,0.19,1.93,1.07,3.07,0.49,1.34,2.5,0.52,0.33,4.15,3.04,6.12,0.68,2.33,3.34,0.95,0.84,9.77,3.4,10.4,1.2,4.83,7.12,2.9,1.97,11.08,8.94,6.93,1.16,66.41,43.17,20.18,11.16,46.14,30.39,0
1.36,0.19,0.91,0.9,0.34,0.27,1.93,1.02,3.13,0.49,1.48,2.45,0.63,0.39,4.05,2.84,6.04,0.68,2.37,3.23,1.03,0.9,9.52,3.23,10.06,1.22,4.63,6.97,2.78,1.95,10.87,8.68,6.6,1.17,66.27,43.06,20.18,11.18,45.83,30.3,0
1.32,0.21,1.05,1.03,0.37,0.28,2.02,1.07,2.97,0.5,1.54,2.46,0.62,0.38,3.93,2.72,5.67,0.67,2.48,3.34,1.01,0.86,10.02,3.19,9.44,1.23,4.75,6.97,2.6,1.85,10.55,8.5,6.16,1.19,64.89,42.14,19.79,10.97,45.26,29.66,0
1.24,0.2,1.05,1.02,0.35,0.27,1.89,1.04,2.78,0.48,1.45,2.37,0.57,0.37,3.68,2.53,5.27,0.63,2.39,3.29,0.94,0.81,10.33,3.04,8.79,1.19,4.77,6.83,2.44,1.8,10.06,8.19,5.7,1.17,62.73,40.76,19.13,10.62,44.65,28.68,0
1.17,0.18,0.98,0.98,0.33,0.25,1.79,0.98,2.6,0.45,1.37,2.34,0.54,0.35,3.48,2.38,4.89,0.59,2.31,3.22,0.88,0.76,10.62,2.91,8.17,1.17,4.67,6.82,2.34,1.74,9.7,7.98,5.3,1.14,60.15,39.09,18.34,10.19,44.29,27.5,0
1.11,0.17,0.93,0.98,0.31,0.25,1.78,0.96,2.44,0.43,1.32,2.37,0.52,0.34,3.38,2.29,4.53,0.55,2.23,3.23,0.85,0.72,10.99,2.86,7.61,1.16,4.59,6.73,2.25,1.68,9.34,7.7,4.92,1.09,57.6,37.45,17.57,9.77,43.92,26.35,0
1.04,0.17,0.89,0.99,0.31,0.24,1.75,0.96,2.31,0.4,1.27,2.37,0.5,0.34,3.33,2.21,4.2,0.51,2.13,3.21,0.83,0.71,11.37,2.81,7.08,1.14,4.48,6.54,2.14,1.62,9.52,7.36,4.56,1.05,55.21,35.94,16.84,9.38,43.44,25.29,0
0.98,0.16,0.86,0.93,0.31,0.24,1.68,0.9,2.18,0.38,1.22,2.31,0.49,0.33,3.19,2.06,3.9,0.47,2.06,3.1,0.8,0.69,11.67,2.68,6.59,1.14,4.35,6.26,2.02,1.57,9.97,6.99,4.23,1.01,53,34.53,16.17,9.01,42.99,24.3,0
0.92,0.15,0.85,0.91,0.3,0.24,1.61,0.87,2.05,0.36,1.17,2.26,0.46,0.32,2.96,1.96,3.63,0.44,1.95,2.97,0.78,0.67,11.88,2.53,6.12,1.12,4.24,6.16,1.93,1.52,10.34,6.66,3.92,0.97,50.96,33.21,15.54,8.66,42.27,23.37,0
0.86,0.15,0.84,0.9,0.29,0.23,1.57,0.85,1.92,0.35,1.12,2.17,0.44,0.32,2.8,1.83,3.39,0.41,1.89,2.95,0.73,0.63,12.13,2.46,5.71,1.11,4.07,6.17,1.82,1.47,10.56,6.25,3.64,0.94,49,31.96,14.93,8.33,41.42,22.5,0
0.8,0.14,0.79,0.87,0.28,0.23,1.46,0.81,1.8,0.33,1.04,2.12,0.42,0.31,2.64,1.74,3.18,0.38,1.81,2.94,0.68,0.61,12.31,2.38,5.34,1.1,3.99,6.16,1.71,1.43,10.75,5.92,3.37,0.91,47.05,30.72,14.34,8.01,40.51,21.63,0
0.75,0.14,0.82,0.87,0.29,0.23,1.42,0.81,1.69,0.31,1.03,1.99,0.42,0.3,2.46,1.69,2.99,0.37,1.82,3,0.65,0.57,12.5,2.36,5,1.09,3.89,6.12,1.62,1.37,10.88,5.63,3.12,0.89,45.53,29.91,13.82,7.69,39.32,20.98,0
0.7,0.14,0.8,0.82,0.27,0.22,1.32,0.76,1.58,0.29,1,1.94,0.4,0.3,2.35,1.61,2.8,0.37,1.74,2.96,0.61,0.55,12.7,2.26,4.66,1.09,3.74,6.04,1.56,1.32,11.11,5.39,2.91,0.86,44.11,28.93,13.39,7.42,38.05,20.29,0
0.65,0.13,0.75,0.78,0.27,0.22,1.3,0.71,1.47,0.28,0.93,1.91,0.39,0.29,2.31,1.55,2.62,0.37,1.68,2.91,0.59,0.53,12.9,2.15,4.33,1.09,3.69,5.99,1.48,1.25,11.23,5.22,2.71,0.84,42.46,27.84,12.89,7.14,36.72,19.52,0
0.6,0.13,0.76,0.76,0.27,0.22,1.32,0.69,1.37,0.26,0.95,1.91,0.4,0.29,2.29,1.55,2.45,0.37,1.61,2.8,0.58,0.53,13.14,2,4.03,1.07,3.63,5.86,1.45,1.19,11.46,4.98,2.52,0.8,40.6,26.61,12.33,6.83,35.23,18.66,0
0.56,0.13,0.75,0.72,0.27,0.21,1.26,0.66,1.28,0.25,0.94,1.87,0.39,0.28,2.2,1.51,2.29,0.36,1.53,2.77,0.55,0.52,13.28,1.9,3.75,1.05,3.48,5.98,1.43,1.17,11.73,4.85,2.35,0.77,38.63,25.3,11.74,6.5,33.77,17.75,0
0.52,0.13,0.7,0.68,0.25,0.2,1.17,0.63,1.2,0.24,0.9,1.84,0.38,0.28,2.11,1.47,2.15,0.36,1.46,2.76,0.52,0.5,13.4,1.91,3.49,1.03,3.35,6.14,1.43,1.13,11.91,4.77,2.18,0.73,36.56,23.95,11.11,6.15,32.3,16.8,0
0.48,0.12,0.65,0.67,0.24,0.19,1.12,0.62,1.12,0.22,0.86,1.76,0.37,0.28,2.02,1.44,2.01,0.35,1.4,2.69,0.5,0.48,13.54,1.9,3.25,1.01,3.3,6.15,1.43,1.11,12.15,4.76,2.03,0.69,34.41,22.53,10.46,5.79,30.73,15.81,0
0.45,0.12,0.64,0.65,0.24,0.18,1.09,0.6,1.05,0.21,0.84,1.69,0.35,0.28,1.98,1.35,1.88,0.34,1.39,2.72,0.5,0.47,13.68,1.94,3.03,0.98,3.23,6.1,1.44,1.11,12.52,4.74,1.89,0.65,32.28,21.14,9.82,5.43,29.24,14.83,0
0.42,0.12,0.6,0.62,0.23,0.18,1.04,0.58,0.99,0.2,0.79,1.61,0.34,0.27,1.92,1.31,1.76,0.33,1.34,2.68,0.48,0.45,13.79,1.95,2.82,0.96,3.19,6.28,1.47,1.12,12.83,4.65,1.75,0.61,30.15,19.73,9.18,5.07,27.73,13.85,0
0.39,0.12,0.56,0.6,0.22,0.18,1,0.56,0.93,0.19,0.75,1.52,0.34,0.26,1.9,1.27,1.64,0.32,1.29,2.68,0.47,0.43,13.94,1.95,2.65,0.95,3.15,6.69,1.49,1.13,13.15,4.59,1.65,0.58,28.08,18.36,8.55,4.72,26.18,12.88,0
0.36,0.11,0.53,0.58,0.21,0.16,0.97,0.52,0.87,0.18,0.72,1.46,0.33,0.26,1.83,1.24,1.53,0.32,1.23,2.74,0.46,0.41,14.01,2,2.49,0.94,3.31,7.11,1.53,1.15,13.48,4.84,1.55,0.54,26.1,17.05,7.96,4.39,24.73,11.97,0
0.34,0.11,0.5,0.55,0.2,0.15,0.93,0.49,0.81,0.18,0.68,1.41,0.33,0.25,1.75,1.2,1.44,0.31,1.25,2.82,0.47,0.39,14.05,2.04,2.35,0.92,3.49,7.55,1.57,1.18,13.75,5.12,1.46,0.51,24.25,15.85,7.4,4.09,23.37,11.12,0
0.33,0.11,0.48,0.58,0.2,0.16,0.94,0.5,0.76,0.18,0.64,1.39,0.33,0.26,1.76,1.16,1.37,0.32,1.29,2.96,0.48,0.38,14.01,2.11,2.21,0.93,3.61,7.9,1.59,1.2,13.98,5.34,1.37,0.51,22.56,14.74,6.88,3.8,21.94,10.35,0
0.31,0.12,0.45,0.55,0.18,0.16,0.9,0.48,0.72,0.18,0.61,1.31,0.32,0.26,1.69,1.09,1.3,0.34,1.33,3.11,0.5,0.4,14.07,2.19,2.09,0.93,3.7,8.16,1.6,1.2,14.07,5.52,1.3,0.54,21.01,13.74,6.42,3.54,20.67,9.64,0
0.29,0.12,0.41,0.53,0.17,0.16,0.87,0.46,0.67,0.18,0.58,1.21,0.3,0.26,1.62,1.02,1.23,0.36,1.37,3.25,0.52,0.42,14.08,2.28,1.97,0.93,3.72,8.32,1.59,1.2,14.11,5.64,1.23,0.56,19.58,12.82,5.98,3.3,19.65,9,0
0.27,0.12,0.4,0.55,0.16,0.15,0.92,0.47,0.63,0.19,0.54,1.18,0.29,0.27,1.63,0.99,1.17,0.37,1.4,3.36,0.52,0.44,14.15,2.36,1.86,0.93,3.75,8.49,1.61,1.2,14.11,5.76,1.17,0.58,18.25,11.96,5.58,3.08,18.52,8.4,0
0.25,0.12,0.4,0.57,0.15,0.15,1.01,0.48,0.6,0.19,0.54,1.2,0.29,0.27,1.68,0.98,1.12,0.39,1.4,3.38,0.52,0.45,14.3,2.37,1.76,0.93,3.74,8.59,1.61,1.2,14.04,5.83,1.11,0.6,17.02,11.15,5.21,2.87,17.52,7.83,0
0.23,0.12,0.38,0.57,0.15,0.15,0.98,0.46,0.56,0.2,0.53,1.17,0.28,0.27,1.61,0.96,1.07,0.4,1.37,3.35,0.52,0.46,14.33,2.33,1.67,0.93,3.71,8.66,1.62,1.2,13.91,5.87,1.07,0.62,15.87,10.39,4.86,2.68,16.67,7.3,0
0.22,0.11,0.36,0.56,0.14,0.15,0.95,0.44,0.53,0.21,0.5,1.12,0.28,0.27,1.52,0.93,1.02,0.41,1.37,3.34,0.53,0.47,14.28,2.3,1.59,0.93,3.65,8.67,1.62,1.19,13.79,5.89,1.02,0.63,14.79,9.69,4.54,2.5,15.74,6.81,0
0.22,0.11,0.34,0.55,0.14,0.15,0.9,0.44,0.51,0.21,0.46,1.05,0.28,0.27,1.5,0.89,0.98,0.41,1.36,3.29,0.53,0.48,14.21,2.25,1.51,0.92,3.59,8.73,1.61,1.19,13.69,5.95,0.99,0.64,13.76,9.01,4.23,2.33,14.92,6.33,0
0.21,0.11,0.32,0.56,0.13,0.15,0.84,0.45,0.48,0.22,0.44,1.04,0.27,0.27,1.48,0.91,0.92,0.42,1.35,3.29,0.53,0.48,14.08,2.24,1.43,0.91,3.55,8.81,1.62,1.19,13.51,6.02,0.96,0.65,12.8,8.38,3.94,2.17,14.23,5.88,0
0.2,0.11,0.3,0.53,0.12,0.15,0.8,0.42,0.46,0.22,0.42,1.02,0.27,0.27,1.48,0.9,0.87,0.43,1.35,3.32,0.54,0.49,13.98,2.26,1.36,0.9,3.51,8.86,1.64,1.19,13.35,6.08,0.92,0.67,11.9,7.78,3.66,2.01,13.41,5.45,0
0.19,0.11,0.29,0.53,0.12,0.14,0.78,0.41,0.45,0.22,0.41,1.01,0.27,0.27,1.41,0.92,0.82,0.45,1.32,3.28,0.53,0.5,13.88,2.23,1.3,0.9,3.46,8.9,1.64,1.19,13.24,6.11,0.88,0.68,11.12,7.23,3.4,1.87,12.73,5.07,0
0.18,0.1,0.28,0.51,0.12,0.14,0.74,0.41,0.43,0.22,0.4,1.04,0.25,0.26,1.42,0.96,0.78,0.46,1.26,3.14,0.51,0.49,13.71,2.14,1.23,0.88,3.39,8.84,1.64,1.18,13.01,6.05,0.85,0.69,10.38,6.75,3.16,1.74,12.1,4.7,0
0.17,0.1,0.3,0.56,0.13,0.14,0.75,0.43,0.42,0.22,0.39,0.99,0.26,0.26,1.39,0.92,0.74,0.47,1.22,3.06,0.51,0.48,13.53,2.1,1.17,0.87,3.29,8.69,1.63,1.17,12.76,5.96,0.82,0.7,9.69,6.3,2.93,1.61,11.35,4.38,0
0.16,0.1,0.28,0.53,0.13,0.14,0.72,0.41,0.41,0.22,0.39,1.04,0.25,0.24,1.42,0.95,0.71,0.47,1.22,3.04,0.51,0.48,13.42,2.1,1.12,0.86,3.14,8.46,1.57,1.13,12.49,5.79,0.79,0.71,9.04,5.88,2.72,1.5,10.82,4.34,0
0.16,0.11,0.27,0.51,0.12,0.13,0.69,0.4,0.41,0.23,0.37,1.08,0.25,0.24,1.44,0.97,0.68,0.48,1.21,3.01,0.5,0.48,13.3,2.09,1.07,0.84,2.97,8.19,1.5,1.14,12.17,5.59,0.76,0.72,8.42,5.49,2.52,1.39,11.13,4.31,0
0.15,0.11,0.26,0.48,0.12,0.12,0.72,0.39,0.4,0.25,0.36,1.09,0.26,0.24,1.45,0.97,0.66,0.45,1.17,2.96,0.49,0.48,13.17,2.06,1.07,0.82,2.81,7.97,1.45,1.15,11.93,5.44,0.74,0.72,7.85,5.2,2.34,1.29,11.39,4.26,0
0.15,0.1,0.24,0.46,0.12,0.12,0.7,0.38,0.4,0.27,0.35,1.08,0.26,0.24,1.43,0.96,0.64,0.44,1.14,2.93,0.48,0.48,13.02,2.04,1.07,0.84,2.72,7.73,1.4,1.16,11.71,5.28,0.71,0.71,7.32,5.36,2.18,1.26,11.7,4.18,0
0.14,0.11,0.23,0.46,0.12,0.11,0.69,0.38,0.39,0.28,0.35,1.11,0.26,0.24,1.37,0.98,0.61,0.42,1.09,2.86,0.48,0.47,12.84,1.97,1.06,0.88,2.67,7.42,1.39,1.17,11.43,5.06,0.69,0.7,6.84,5.38,2.02,1.29,12.04,4.17,0
0.14,0.1,0.24,0.46,0.12,0.11,0.73,0.4,0.39,0.29,0.37,1.19,0.26,0.23,1.39,1.04,0.6,0.45,1.05,2.77,0.49,0.47,12.61,1.89,1.06,0.93,2.64,7.19,1.41,1.17,11.28,4.89,0.67,0.68,6.4,5.37,1.89,1.28,12.22,4.17,0
