'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[11:42:37.142 11/09/2023]',0.22,0.20,0.66,0.48,0.13,0.20,2.44,10.11,0.35,0.28,1.98,1.08,0.31,0.40,4.20,23.03,0.38,0.26,3.28,1.86,0.68,0.34,4.00,28.19,0.75,0.65,9.83,2.91,1.86,1.58,12.91,60.90,2.99,1.73,69.31,5.66,13.74,17.52,47.53,51.53,0
'[11:42:37.213 11/09/2023]',0.21,0.21,0.70,0.45,0.14,0.21,2.57,10.15,0.35,0.29,1.90,1.00,0.33,0.39,4.26,23.39,0.37,0.25,3.35,1.72,0.67,0.36,4.00,28.40,0.75,0.65,9.81,2.69,1.86,1.57,12.93,61.53,3.03,1.75,70.39,5.25,13.89,17.78,48.24,52.23,0
'[11:42:37.238 11/09/2023]',0.21,0.21,0.79,0.41,0.14,0.22,2.55,10.20,0.35,0.30,1.79,0.93,0.34,0.37,4.21,23.77,0.35,0.24,3.32,1.59,0.66,0.35,4.18,28.63,0.76,0.65,9.85,2.49,1.86,1.59,12.92,62.13,3.07,1.76,71.64,4.86,14.07,18.06,48.99,52.98,0
'[11:42:37.269 11/09/2023]',0.21,0.22,0.88,0.38,0.15,0.27,2.56,10.99,0.34,0.32,1.72,0.86,0.32,0.39,4.16,24.28,0.34,0.24,3.25,1.47,0.62,0.36,4.38,28.50,0.73,0.65,9.50,2.30,1.74,1.57,12.48,60.31,3.06,1.78,71.79,4.51,14.03,18.08,49.01,53.18,0
'[11:42:37.292 11/09/2023]',0.21,0.22,1.04,0.35,0.17,0.30,2.54,10.39,0.34,0.33,1.74,0.79,0.32,0.40,4.27,22.95,0.34,0.23,3.23,1.36,0.62,0.40,4.77,26.51,0.72,0.63,9.36,2.13,1.66,1.60,12.24,56.76,3.01,1.76,70.70,4.18,13.76,17.79,48.15,52.43,0
'[11:42:37.327 11/09/2023]',0.21,0.23,1.07,0.33,0.18,0.31,2.58,9.91,0.34,0.33,1.85,0.73,0.33,0.40,4.22,21.95,0.34,0.22,3.05,1.26,0.60,0.41,4.96,24.95,0.70,0.61,9.04,1.97,1.58,1.59,12.07,53.61,2.92,1.72,68.90,3.87,13.34,17.32,46.83,50.98,0
'[11:42:37.358 11/09/2023]',0.21,0.23,1.04,0.30,0.17,0.30,2.63,9.32,0.33,0.35,1.91,0.68,0.32,0.38,4.14,21.21,0.32,0.22,2.96,1.17,0.57,0.41,5.15,23.68,0.68,0.59,8.65,1.82,1.50,1.54,11.85,50.53,2.81,1.66,66.83,3.58,12.85,16.77,45.34,49.28,0
'[11:42:37.394 11/09/2023]',0.21,0.24,1.05,0.28,0.16,0.28,2.71,8.96,0.33,0.35,1.95,0.63,0.31,0.36,4.03,20.18,0.31,0.22,2.84,1.08,0.56,0.41,5.36,22.32,0.66,0.57,8.28,1.68,1.43,1.50,11.67,47.11,2.71,1.59,64.79,3.32,12.36,16.22,43.86,47.45,0
'[11:42:37.414 11/09/2023]',0.20,0.23,1.00,0.26,0.15,0.27,2.75,8.67,0.32,0.35,2.01,0.58,0.30,0.35,3.92,19.10,0.31,0.23,2.74,1.00,0.54,0.42,5.61,20.98,0.64,0.55,7.93,1.56,1.38,1.47,11.38,43.80,2.62,1.52,63.01,3.08,11.91,15.73,42.54,45.72,0
'[11:42:37.444 11/09/2023]',0.19,0.22,0.99,0.24,0.14,0.25,2.78,8.27,0.31,0.35,2.14,0.54,0.30,0.36,3.80,18.11,0.29,0.24,2.62,0.92,0.53,0.42,5.89,19.72,0.62,0.53,7.67,1.44,1.35,1.47,11.14,40.64,2.53,1.46,61.52,2.85,11.52,15.32,41.43,44.14,0
'[11:42:37.468 11/09/2023]',0.18,0.21,0.96,0.22,0.15,0.25,2.85,7.88,0.29,0.34,2.23,0.50,0.29,0.38,3.79,17.17,0.30,0.25,2.64,0.85,0.53,0.41,6.27,18.58,0.61,0.52,7.39,1.33,1.32,1.45,10.81,37.70,2.46,1.40,60.29,2.64,11.17,14.97,40.47,42.72,0
'[11:42:37.490 11/09/2023]',0.17,0.20,0.93,0.21,0.15,0.25,2.97,7.55,0.28,0.34,2.25,0.46,0.29,0.39,3.87,16.35,0.31,0.25,2.76,0.79,0.52,0.40,6.68,17.43,0.59,0.52,7.17,1.23,1.30,1.44,10.60,35.10,2.39,1.35,59.28,2.44,10.86,14.67,39.67,41.45,0
'[11:42:37.517 11/09/2023]',0.17,0.19,0.90,0.19,0.14,0.24,3.02,7.17,0.27,0.33,2.30,0.43,0.27,0.40,3.92,15.50,0.31,0.26,2.90,0.73,0.52,0.42,7.11,16.48,0.58,0.52,6.98,1.14,1.28,1.43,10.59,32.66,2.33,1.31,58.41,2.26,10.59,14.40,38.95,40.30,0
'[11:42:37.553 11/09/2023]',0.16,0.18,0.91,0.18,0.14,0.24,3.08,6.78,0.26,0.32,2.30,0.39,0.27,0.41,3.97,14.71,0.31,0.27,3.02,0.68,0.50,0.43,7.47,15.63,0.57,0.53,6.75,1.06,1.25,1.41,10.53,30.48,2.26,1.29,57.67,2.10,10.34,14.16,38.32,39.26,0
'[11:42:37.573 11/09/2023]',0.15,0.17,0.97,0.16,0.14,0.24,3.11,6.34,0.25,0.32,2.35,0.36,0.28,0.42,4.03,14.04,0.32,0.27,3.09,0.63,0.49,0.44,7.83,14.82,0.57,0.53,6.53,0.98,1.23,1.39,10.55,28.85,2.20,1.26,56.98,1.94,10.10,13.93,37.72,38.30,0
'[11:42:37.600 11/09/2023]',0.15,0.17,0.97,0.15,0.13,0.23,3.21,6.02,0.24,0.32,2.44,0.34,0.27,0.44,4.25,13.37,0.32,0.27,3.23,0.58,0.47,0.45,7.91,14.15,0.56,0.54,6.39,0.90,1.21,1.38,10.70,27.39,2.12,1.23,56.20,1.80,9.86,13.68,37.06,37.32,0
'[11:42:37.630 11/09/2023]',0.15,0.16,1.17,0.14,0.20,0.32,3.64,6.00,0.25,0.31,2.67,0.31,0.32,0.50,4.88,12.81,0.31,0.27,3.78,0.53,0.51,0.57,7.74,14.20,0.56,0.54,6.75,0.84,1.23,1.55,11.62,26.37,2.08,1.19,56.49,1.66,9.91,13.74,37.25,37.33,0
'[11:42:37.660 11/09/2023]',0.15,0.15,1.18,0.13,0.21,0.33,3.87,5.89,0.24,0.30,2.72,0.29,0.31,0.50,5.24,12.22,0.30,0.28,3.85,0.49,0.52,0.58,7.32,14.07,0.58,0.53,7.39,0.77,1.30,1.86,12.72,25.96,2.10,1.14,58.35,1.54,10.23,14.15,38.51,38.39,0
'[11:42:37.686 11/09/2023]',0.14,0.14,1.20,0.12,0.20,0.31,3.92,5.76,0.23,0.30,2.69,0.27,0.31,0.49,5.48,11.62,0.30,0.29,3.96,0.46,0.53,0.62,7.46,14.00,0.59,0.52,8.05,0.71,1.38,2.09,13.67,25.67,2.15,1.12,60.84,1.42,10.71,14.73,40.18,39.88,0
'[11:42:37.720 11/09/2023]',0.14,0.14,1.17,0.11,0.19,0.30,4.00,5.56,0.22,0.30,2.64,0.25,0.31,0.46,5.65,11.06,0.32,0.30,4.12,0.42,0.55,0.67,7.93,13.86,0.63,0.54,8.79,0.66,1.44,2.32,14.52,25.33,2.22,1.17,63.55,1.32,11.22,15.36,41.97,41.50,0
'[11:42:37.751 11/09/2023]',0.14,0.14,1.14,0.10,0.18,0.29,4.05,5.41,0.22,0.30,2.64,0.23,0.32,0.44,5.81,10.48,0.33,0.31,4.28,0.39,0.55,0.71,8.30,13.72,0.67,0.57,9.56,0.61,1.49,2.52,15.22,24.94,2.28,1.24,66.20,1.22,11.72,15.98,43.70,43.11,0
'[11:42:37.776 11/09/2023]',0.13,0.13,1.16,0.09,0.18,0.29,4.19,5.29,0.21,0.30,2.59,0.21,0.34,0.45,5.87,9.92,0.35,0.31,4.59,0.36,0.55,0.78,8.70,13.61,0.70,0.60,10.36,0.57,1.58,2.73,15.77,24.54,2.35,1.30,68.77,1.13,12.19,16.58,45.38,44.62,0
'[11:42:37.805 11/09/2023]',0.13,0.13,1.14,0.09,0.19,0.28,4.16,5.14,0.22,0.30,2.59,0.20,0.34,0.42,5.93,9.50,0.36,0.31,4.73,0.34,0.55,0.80,8.90,13.67,0.72,0.62,10.98,0.52,1.65,2.88,16.30,24.06,2.44,1.35,71.37,1.04,12.65,17.18,47.06,46.13,0
'[11:42:37.839 11/09/2023]',0.13,0.13,1.13,0.08,0.18,0.27,4.13,4.94,0.22,0.30,2.62,0.18,0.34,0.40,5.98,9.09,0.36,0.31,4.83,0.31,0.54,0.83,9.07,13.68,0.74,0.64,11.59,0.48,1.71,3.03,16.76,23.60,2.55,1.40,74.12,0.97,13.12,17.81,48.85,47.68,0
'[11:42:37.866 11/09/2023]',0.13,0.12,1.09,0.07,0.17,0.26,4.03,4.69,0.20,0.29,2.55,0.17,0.35,0.40,5.99,8.68,0.35,0.32,5.03,0.29,0.53,0.86,9.40,13.66,0.77,0.67,12.21,0.45,1.77,3.15,17.20,23.04,2.63,1.43,77.26,0.89,13.65,18.55,50.86,49.47,0
'[11:42:37.893 11/09/2023]',0.12,0.12,1.03,0.07,0.17,0.25,3.90,4.47,0.20,0.29,2.51,0.15,0.35,0.40,5.91,8.32,0.35,0.32,5.21,0.27,0.53,0.90,9.82,13.62,0.79,0.70,12.84,0.41,1.85,3.28,17.44,22.47,2.68,1.45,81.10,0.83,14.29,19.44,53.38,51.62,0
'[11:42:37.920 11/09/2023]',0.12,0.12,1.05,0.06,0.18,0.27,3.91,4.29,0.20,0.29,2.56,0.14,0.37,0.43,6.13,8.01,0.35,0.31,5.50,0.25,0.54,0.96,10.19,13.65,0.80,0.72,13.29,0.38,1.90,3.36,17.63,22.01,2.79,1.47,84.94,0.77,14.94,20.35,55.95,53.85,0
'[11:42:37.947 11/09/2023]',0.12,0.11,1.06,0.06,0.17,0.27,3.83,4.04,0.20,0.29,2.57,0.13,0.36,0.45,6.27,7.70,0.38,0.32,5.65,0.23,0.55,1.00,10.48,13.65,0.81,0.73,13.71,0.35,1.95,3.43,17.78,21.83,2.91,1.48,88.64,0.71,15.60,21.25,58.47,56.05,0
'[11:42:37.974 11/09/2023]',0.11,0.11,1.11,0.05,0.18,0.27,3.77,3.77,0.20,0.29,2.62,0.12,0.38,0.46,6.44,7.45,0.41,0.32,5.84,0.21,0.53,1.04,10.81,13.63,0.83,0.73,13.87,0.33,2.01,3.43,17.77,21.92,3.04,1.50,92.24,0.65,16.27,22.15,60.93,58.28,0
'[11:42:38.000 11/09/2023]',0.11,0.11,1.11,0.05,0.18,0.27,3.73,3.56,0.20,0.29,2.58,0.11,0.39,0.47,6.55,7.17,0.44,0.33,5.92,0.19,0.53,1.06,11.08,13.63,0.86,0.75,14.18,0.30,2.04,3.46,17.76,21.99,3.18,1.55,95.79,0.61,16.93,23.03,63.35,60.50,0
'[11:42:38.026 11/09/2023]',0.10,0.10,1.08,0.05,0.18,0.26,3.77,3.41,0.20,0.29,2.46,0.10,0.39,0.45,6.51,6.93,0.46,0.34,5.93,0.18,0.55,1.07,11.14,13.75,0.88,0.77,14.46,0.28,2.06,3.45,17.83,21.94,3.32,1.63,99.25,0.56,17.57,23.90,65.75,62.66,0
'[11:42:38.074 11/09/2023]',0.10,0.09,1.06,0.04,0.18,0.25,3.82,3.26,0.19,0.29,2.35,0.10,0.38,0.44,6.47,6.70,0.48,0.34,5.95,0.17,0.57,1.08,11.23,13.87,0.91,0.79,15.09,0.26,2.09,3.47,18.07,21.97,3.46,1.71,102.59,0.52,18.18,24.74,68.03,64.72,0
'[11:42:38.164 11/09/2023]',0.10,0.09,1.12,0.04,0.19,0.26,3.74,3.06,0.20,0.28,2.26,0.09,0.37,0.42,6.43,6.49,0.49,0.34,5.90,0.15,0.60,1.09,11.18,13.95,0.93,0.80,15.81,0.24,2.12,3.47,18.23,21.86,3.59,1.78,105.65,0.48,18.73,25.51,70.10,66.59,0
'[11:42:38.287 11/09/2023]',0.10,0.09,1.20,0.04,0.19,0.25,3.70,3.10,0.20,0.26,2.21,0.08,0.36,0.39,6.31,6.37,0.50,0.34,5.95,0.14,0.62,1.10,11.25,13.95,0.96,0.81,16.34,0.22,2.17,3.61,18.55,21.77,3.72,1.86,108.36,0.44,19.22,26.19,71.95,68.24,0
'[11:42:38.395 11/09/2023]',0.10,0.09,1.20,0.03,0.18,0.25,3.68,3.02,0.19,0.26,2.12,0.08,0.36,0.38,6.27,6.19,0.51,0.34,5.90,0.13,0.63,1.10,11.26,13.88,0.98,0.82,16.83,0.21,2.21,3.74,18.86,21.64,3.82,1.93,110.67,0.41,19.64,26.77,73.53,69.62,0
'[11:42:38.485 11/09/2023]',0.10,0.08,1.22,0.03,0.19,0.24,3.60,2.91,0.19,0.25,2.10,0.07,0.35,0.37,6.17,6.02,0.52,0.34,5.95,0.12,0.64,1.12,11.34,13.78,0.99,0.83,17.23,0.19,2.24,3.84,19.23,21.50,3.92,1.99,112.47,0.38,19.97,27.24,74.73,70.69,0
'[11:42:38.579 11/09/2023]',0.10,0.08,1.22,0.03,0.18,0.23,3.51,2.84,0.19,0.25,2.03,0.07,0.35,0.35,6.06,5.82,0.53,0.34,5.88,0.11,0.65,1.11,11.43,13.64,1.00,0.84,17.65,0.18,2.28,3.95,19.55,21.44,4.01,2.05,113.82,0.35,20.23,27.61,75.67,71.50,0
'[11:42:38.663 11/09/2023]',0.11,0.08,1.21,0.03,0.18,0.22,3.48,2.78,0.20,0.25,1.91,0.06,0.34,0.34,6.03,5.62,0.54,0.33,5.80,0.10,0.67,1.11,11.45,13.48,1.01,0.85,18.02,0.16,2.31,4.04,19.79,21.38,4.09,2.11,114.73,0.33,20.42,27.88,76.34,72.05,0
'[11:42:38.761 11/09/2023]',0.10,0.07,1.21,0.03,0.17,0.22,3.44,2.71,0.20,0.25,1.79,0.06,0.34,0.32,6.06,5.46,0.55,0.34,5.76,0.10,0.68,1.11,11.44,13.33,1.01,0.86,18.34,0.15,2.34,4.12,20.07,21.28,4.16,2.16,115.32,0.30,20.55,28.07,76.82,72.42,0
'[11:42:38.850 11/09/2023]',0.10,0.07,1.20,0.02,0.17,0.22,3.36,2.67,0.20,0.24,1.80,0.05,0.34,0.34,6.10,5.34,0.57,0.34,5.68,0.09,0.70,1.10,11.31,13.24,1.02,0.88,18.58,0.14,2.35,4.17,20.33,21.26,4.22,2.21,115.72,0.28,20.64,28.22,77.15,72.68,0
'[11:42:38.945 11/09/2023]',0.10,0.07,1.26,0.02,0.16,0.21,3.27,2.57,0.20,0.24,1.87,0.05,0.34,0.34,6.18,5.35,0.59,0.35,5.71,0.08,0.71,1.10,11.20,13.14,1.03,0.89,18.82,0.13,2.36,4.20,20.58,21.20,4.27,2.26,115.78,0.26,20.68,28.30,77.30,72.77,0
'[11:42:39.034 11/09/2023]',0.09,0.07,1.25,0.02,0.16,0.20,3.21,2.51,0.20,0.23,1.80,0.04,0.33,0.33,6.18,5.32,0.60,0.36,5.60,0.08,0.72,1.09,11.11,13.07,1.04,0.89,19.22,0.12,2.37,4.26,20.69,21.05,4.32,2.30,115.62,0.24,20.69,28.32,77.31,72.75,0
'[11:42:39.108 11/09/2023]',0.10,0.07,1.23,0.02,0.15,0.20,3.17,2.49,0.21,0.23,1.75,0.04,0.33,0.32,6.17,5.31,0.60,0.36,5.47,0.07,0.72,1.07,11.04,12.99,1.08,0.89,19.55,0.11,2.41,4.31,20.81,21.06,4.37,2.34,115.41,0.22,20.69,28.33,77.25,72.66,0
'[11:42:39.178 11/09/2023]',0.10,0.07,1.19,0.02,0.15,0.19,3.18,2.46,0.21,0.23,1.77,0.04,0.32,0.32,6.03,5.24,0.60,0.37,5.43,0.07,0.73,1.08,10.86,12.81,1.10,0.90,19.86,0.10,2.48,4.35,21.24,21.17,4.42,2.38,115.23,0.20,20.68,28.34,77.22,72.57,0
'[11:42:39.203 11/09/2023]',0.11,0.06,1.84,0.02,0.19,0.31,3.09,2.39,0.24,0.22,2.43,0.04,0.37,0.42,5.74,5.05,0.59,0.37,5.78,0.06,0.75,1.13,10.21,12.05,1.09,0.91,19.18,0.09,2.37,4.20,20.64,20.38,4.40,2.42,115.12,0.19,20.35,27.93,75.98,71.33,0
'[11:42:39.225 11/09/2023]',0.13,0.07,1.92,0.01,0.24,0.36,2.96,2.35,0.22,0.23,2.46,0.03,0.42,0.48,5.46,4.92,0.55,0.36,5.40,0.06,0.73,1.10,9.65,11.26,1.07,0.90,18.50,0.09,2.33,4.06,19.96,19.49,4.31,2.43,115.44,0.17,19.74,27.16,73.73,69.06,0
'[11:42:39.257 11/09/2023]',0.13,0.08,1.95,0.01,0.26,0.40,2.87,2.34,0.22,0.22,2.48,0.03,0.45,0.50,5.21,4.82,0.54,0.35,5.27,0.05,0.74,1.08,9.09,10.65,1.03,0.87,17.43,0.08,2.27,3.81,19.18,18.86,4.18,2.39,115.63,0.16,18.97,27.00,72.94,66.24,0
'[11:42:39.295 11/09/2023]',0.13,0.08,1.90,0.01,0.24,0.40,2.75,2.31,0.22,0.21,2.45,0.03,0.44,0.47,4.89,4.66,0.53,0.35,5.19,0.05,0.72,1.05,8.68,10.15,1.00,0.84,16.70,0.07,2.19,3.65,18.55,18.06,4.03,2.32,115.94,0.15,18.18,27.09,73.11,64.07,0
'[11:42:39.315 11/09/2023]',0.14,0.08,1.78,0.01,0.23,0.38,2.59,2.18,0.23,0.20,2.29,0.03,0.42,0.45,4.54,4.47,0.50,0.35,4.98,0.04,0.69,1.01,8.33,9.61,0.98,0.81,15.88,0.07,2.12,3.50,17.84,17.42,3.88,2.25,116.33,0.14,18.25,27.20,73.33,64.31,0
'[11:42:39.351 11/09/2023]',0.15,0.08,1.69,0.01,0.21,0.36,2.47,2.09,0.24,0.20,2.17,0.02,0.41,0.44,4.31,4.26,0.54,0.33,4.82,0.04,0.67,0.97,7.94,9.16,0.97,0.78,15.01,0.06,2.06,3.35,17.08,16.77,3.90,2.16,116.63,0.13,18.30,27.27,73.49,64.48,0
'[11:42:39.383 11/09/2023]',0.15,0.08,1.60,0.01,0.22,0.37,2.34,1.99,0.24,0.19,2.09,0.02,0.39,0.42,4.05,4.06,0.58,0.32,4.71,0.04,0.63,0.92,7.52,8.77,0.97,0.77,13.99,0.06,1.98,3.19,16.18,16.09,3.91,2.08,116.78,0.12,18.33,27.31,73.58,64.57,0
'[11:42:39.409 11/09/2023]',0.16,0.09,1.49,0.01,0.21,0.36,2.21,1.90,0.24,0.19,1.98,0.02,0.38,0.41,3.82,3.90,0.63,0.31,4.60,0.03,0.61,0.89,7.18,8.35,0.97,0.76,13.08,0.05,1.90,3.02,15.23,15.36,3.90,2.01,116.61,0.11,18.29,27.27,73.44,64.42,0
'[11:42:39.441 11/09/2023]',0.16,0.09,1.53,0.01,0.22,0.38,2.19,1.96,0.24,0.19,1.99,0.02,0.38,0.43,3.72,3.65,0.66,0.31,4.62,0.03,0.61,0.90,6.90,8.11,0.98,0.75,12.52,0.05,1.81,2.86,14.35,14.61,3.88,2.00,116.12,0.10,18.19,27.14,73.05,64.03,0
'[11:42:39.467 11/09/2023]',0.17,0.09,1.57,0.01,0.21,0.38,2.07,1.93,0.26,0.19,1.95,0.02,0.36,0.42,3.54,3.49,0.69,0.31,4.58,0.03,0.58,0.87,6.58,7.79,0.97,0.73,11.78,0.05,1.72,2.67,13.53,13.66,3.84,1.99,115.17,0.09,18.00,26.90,72.35,63.35,0
'[11:42:39.495 11/09/2023]',0.17,0.10,1.60,0.01,0.21,0.39,2.08,1.84,0.26,0.18,1.95,0.02,0.35,0.43,3.41,3.34,0.70,0.32,4.60,0.03,0.56,0.87,6.31,7.58,1.00,0.73,11.09,0.04,1.65,2.51,12.80,12.82,3.78,1.96,114.05,0.09,17.75,26.60,71.50,62.50,0
'[11:42:39.529 11/09/2023]',0.17,0.09,1.60,0.01,0.21,0.39,2.05,1.76,0.26,0.19,1.89,0.01,0.34,0.42,3.24,3.13,0.70,0.31,4.40,0.03,0.54,0.83,5.99,7.26,1.02,0.73,10.72,0.04,1.66,2.34,12.14,12.20,3.71,1.93,112.57,0.08,17.45,26.20,70.41,61.43,0
'[11:42:39.560 11/09/2023]',0.16,0.09,1.54,0.01,0.20,0.38,1.92,1.71,0.27,0.19,1.90,0.01,0.32,0.40,3.05,2.99,0.71,0.31,4.20,0.02,0.51,0.80,5.69,6.95,1.05,0.74,10.29,0.04,1.63,2.20,11.38,11.44,3.62,1.89,110.85,0.07,17.10,25.74,69.15,60.20,0
'[11:42:39.585 11/09/2023]',0.15,0.09,1.48,0.01,0.22,0.37,1.86,1.76,0.28,0.20,1.93,0.01,0.35,0.41,3.08,3.12,0.71,0.32,4.10,0.02,0.52,0.80,5.67,7.09,1.07,0.74,10.03,0.03,1.65,2.12,11.00,11.36,3.46,1.83,108.42,0.07,16.53,25.04,67.29,58.17,0
'[11:42:39.618 11/09/2023]',0.15,0.08,1.46,0.01,0.21,0.37,1.79,1.68,0.29,0.20,1.98,0.01,0.35,0.42,3.04,3.12,0.71,0.34,4.01,0.02,0.51,0.80,5.63,7.10,1.09,0.75,9.84,0.03,1.67,2.10,10.70,11.34,3.25,1.72,105.57,0.06,15.87,24.20,65.12,55.95,0
'[11:42:39.650 11/09/2023]',0.15,0.08,1.43,0.00,0.21,0.36,1.70,1.63,0.30,0.20,1.99,0.01,0.35,0.42,2.94,3.09,0.72,0.34,3.87,0.02,0.50,0.78,5.59,7.05,1.12,0.75,9.65,0.03,1.69,2.10,10.31,11.45,3.01,1.62,102.46,0.06,15.19,23.28,62.77,53.67,0
'[11:42:39.681 11/09/2023]',0.14,0.08,1.38,0.00,0.20,0.34,1.61,1.63,0.31,0.20,1.99,0.01,0.34,0.41,2.75,2.99,0.73,0.35,3.79,0.02,0.49,0.79,5.66,6.95,1.14,0.76,9.48,0.03,1.71,2.13,10.07,11.49,2.81,1.55,99.09,0.05,14.53,22.28,60.28,51.36,0
'[11:42:39.713 11/09/2023]',0.14,0.07,1.36,0.00,0.19,0.33,1.57,1.64,0.32,0.20,1.97,0.01,0.33,0.40,2.61,2.93,0.74,0.34,3.70,0.02,0.49,0.79,5.70,7.02,1.16,0.77,9.36,0.03,1.73,2.17,9.84,11.52,2.64,1.50,95.52,0.05,13.90,21.27,57.71,49.10,0
'[11:42:39.746 11/09/2023]',0.13,0.07,1.36,0.00,0.18,0.32,1.51,1.62,0.33,0.20,1.94,0.01,0.31,0.39,2.44,2.91,0.76,0.34,3.74,0.01,0.54,0.81,5.80,7.23,1.18,0.77,9.17,0.02,1.73,2.20,9.69,11.63,2.48,1.52,91.88,0.05,13.28,20.26,55.14,46.92,0
'[11:42:39.779 11/09/2023]',0.13,0.07,1.34,0.00,0.17,0.30,1.48,1.62,0.34,0.21,1.96,0.01,0.30,0.39,2.29,2.90,0.76,0.34,3.73,0.01,0.58,0.83,5.83,7.37,1.20,0.78,9.06,0.02,1.73,2.21,9.49,11.69,2.39,1.54,88.24,0.04,12.68,19.27,52.64,44.82,0
'[11:42:39.811 11/09/2023]',0.12,0.07,1.32,0.00,0.17,0.30,1.47,1.68,0.35,0.22,1.92,0.01,0.28,0.38,2.15,2.93,0.77,0.34,3.79,0.01,0.61,0.85,5.92,7.57,1.21,0.78,8.87,0.02,1.73,2.19,9.37,11.78,2.38,1.55,84.54,0.04,12.12,18.29,50.16,42.77,0
