Time and date,Fp1,Fp2,F3,F4,T7,T8,F7,F8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Event
[12:38:00.152 29/11/2023],-194322.4,-111206.4,-146435,-207991,-186078.1,-180829.9,-202454.7,-158251.5,0.03,-0.02,1.00,-4,-2,-4,89,0
[12:38:00.156 29/11/2023],-194333.3,-111224.7,-146443.1,-208008.1,-186091.9,-180856.7,-202472.1,-158273.9,0.03,-0.02,1.00,-4,-2,-4,89,0
[12:38:00.160 29/11/2023],-194349.1,-111237.2,-146447.7,-208005.1,-186093.1,-180864.4,-202482.3,-158279.5,0.03,-0.02,1.00,-4,-2,-4,89,0
[12:38:00.164 29/11/2023],-194335.7,-111230,-146450.2,-207997.7,-186060,-180851.8,-202477.1,-158272.9,0.03,-0.02,1.00,-4,-2,-4,89,0
[12:38:00.168 29/11/2023],-194347.2,-111235.1,-146467.3,-208018.4,-186086.6,-180868.8,-202499.2,-158288.3,0.03,-0.02,1.00,-4,-2,-4,89,0
[12:38:00.172 29/11/2023],-194368.9,-111251.7,-146489.1,-208048,-186106.4,-180875,-202521.9,-158313.6,0.03,-0.02,1.00,-4,-2,-4,89,0
[12:38:00.176 29/11/2023],-194362.8,-111246.4,-146477.4,-208042.8,-186103.1,-180868.8,-202515.3,-158315.3,0.03,-0.02,1.00,-4,-2,-4,89,0
[12:38:00.180 29/11/2023],-194327.8,-111212.4,-146451.9,-208014.8,-186079,-180852.3,-202486.4,-158284.6,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.184 29/11/2023],-194323.7,-111222.7,-146452.8,-208007.7,-186083.4,-180858.7,-202484.4,-158282.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.188 29/11/2023],-194330.8,-111234.7,-146446.3,-208011.1,-186104.5,-180864.6,-202485.5,-158290,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.192 29/11/2023],-194333.6,-111232.8,-146440.7,-208011,-186086.4,-180886,-202485.1,-158293,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.196 29/11/2023],-194304.3,-111201.2,-146411.5,-207981.5,-186058.3,-180849.3,-202454.3,-158266.9,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.200 29/11/2023],-194295,-111193.2,-146420.2,-207977.9,-186061.1,-180833.9,-202450.4,-158255.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.204 29/11/2023],-194312.1,-111211.8,-146438.5,-207993.9,-186091,-180856,-202471.8,-158269.6,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.208 29/11/2023],-194329.5,-111222.7,-146445.5,-208009.9,-186097.7,-180861.2,-202486.2,-158285.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.212 29/11/2023],-194317.7,-111203.9,-146426.1,-207989,-186070.2,-180825.5,-202466,-158271,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.216 29/11/2023],-194317.1,-111198.7,-146426.9,-207991.5,-186070.8,-180834.9,-202464.5,-158266.3,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.220 29/11/2023],-194341.2,-111202.2,-146443.5,-208011.6,-186073.5,-180851.5,-202475.6,-158283.8,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.224 29/11/2023],-194329.6,-111201.7,-146442.1,-208000,-186054,-180829.8,-202469.6,-158278.3,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.228 29/11/2023],-194299.6,-111196.5,-146427.4,-207993.9,-186047.9,-180834.3,-202459,-158265.5,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.232 29/11/2023],-194282.9,-111184.9,-146420.1,-207987.7,-186045.9,-180818.8,-202451.8,-158252.9,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.236 29/11/2023],-194306.7,-111211.4,-146434.6,-208000.1,-186087.6,-180835.8,-202471.5,-158269.6,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.240 29/11/2023],-194320.5,-111221.8,-146436,-207999.9,-186080,-180850,-202476.2,-158275.7,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.244 29/11/2023],-194307.8,-111204.3,-146420.2,-207988.7,-186060.9,-180832.7,-202462.9,-158265.5,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.248 29/11/2023],-194298.2,-111186.9,-146416.7,-207977.4,-186059.4,-180835.1,-202455.8,-158255.8,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.252 29/11/2023],-194306.7,-111191.7,-146435.1,-207990.8,-186056.6,-180843.1,-202470.8,-158271.5,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.256 29/11/2023],-194316.5,-111198.6,-146442.8,-208004.3,-186062.6,-180837.1,-202480.6,-158279.1,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.260 29/11/2023],-194307.1,-111184.8,-146427,-207988.7,-186061.8,-180817.7,-202463.6,-158264,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.264 29/11/2023],-194287.9,-111168.3,-146407.5,-207965.9,-186050.1,-180793.2,-202443,-158242.5,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.268 29/11/2023],-194295,-111176.8,-146416.2,-207964.9,-186054,-180808.4,-202454.1,-158248.6,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.272 29/11/2023],-194282,-111170.3,-146402.8,-207961,-186043.2,-180821,-202443.9,-158246.1,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.276 29/11/2023],-194259.2,-111162.4,-146396.2,-207964.4,-186014.2,-180818.6,-202432.9,-158239.9,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.280 29/11/2023],-194251.7,-111147.3,-146393.7,-207961.4,-186019,-180787.8,-202426.8,-158229.3,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.284 29/11/2023],-194278,-111157.9,-146406.5,-207972.6,-186050.5,-180809.8,-202443.4,-158245.7,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.288 29/11/2023],-194308.6,-111181.9,-146420.9,-207984.7,-186081.3,-180844.9,-202464.2,-158263,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.292 29/11/2023],-194312.4,-111198.4,-146424.6,-207995.2,-186086.6,-180858.1,-202465.6,-158263.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.296 29/11/2023],-194275.6,-111171.9,-146399.3,-207967.8,-186045.9,-180818.5,-202438.1,-158248.7,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.300 29/11/2023],-194279.8,-111159.9,-146389,-207952,-186021.9,-180804.6,-202433.7,-158235.4,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.304 29/11/2023],-194301.9,-111165.5,-146400.4,-207977.1,-186023.6,-180815.4,-202445.8,-158250.1,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.308 29/11/2023],-194304.6,-111168.8,-146414.8,-207992.4,-186041.5,-180816.8,-202456.9,-158263.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.312 29/11/2023],-194284,-111166.8,-146412.2,-207976.1,-186029.6,-180825.6,-202449.2,-158257.7,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.316 29/11/2023],-194263.8,-111168.8,-146401.3,-207973.1,-186044.7,-180841.4,-202443,-158252.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.320 29/11/2023],-194261.5,-111162.1,-146386.1,-207980.1,-186073.7,-180799.4,-202438.5,-158249.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.324 29/11/2023],-194275.9,-111172.2,-146393.4,-207978.5,-186057.5,-180798.5,-202432.6,-158247.3,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.328 29/11/2023],-194299.6,-111185.9,-146416.8,-207982.5,-186053.5,-180841.3,-202448.3,-158257.7,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.332 29/11/2023],-194303.8,-111179.7,-146417,-207975.8,-186055.7,-180835.1,-202453.3,-158253.8,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.336 29/11/2023],-194305.5,-111172.8,-146405.5,-207977.4,-186044.9,-180817.7,-202452.2,-158249.7,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.340 29/11/2023],-194312.5,-111182.1,-146416.3,-207984.6,-186036.9,-180835.2,-202459.5,-158262.6,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.344 29/11/2023],-194294.4,-111169.9,-146412.7,-207981.6,-186033.5,-180826.9,-202448.2,-158249.4,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.348 29/11/2023],-194285.8,-111159.5,-146409.2,-207977.5,-186034.5,-180806.9,-202445.5,-158248.6,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.352 29/11/2023],-194296.3,-111176.6,-146419.3,-207976.9,-186056.5,-180836.8,-202457.3,-158259.8,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.356 29/11/2023],-194292.7,-111188.8,-146415.7,-207981.5,-186066.6,-180831.2,-202457.9,-158263,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.360 29/11/2023],-194288.1,-111169.9,-146414.3,-207979.9,-186045.7,-180828.6,-202448.7,-158252.1,0.05,0.02,1.02,-4,-2,-4,89,0
[12:38:00.364 29/11/2023],-194268.7,-111138.5,-146393.9,-207963.6,-186035.8,-180814.6,-202425.9,-158223,0.05,0.02,1.02,-4,-2,-4,89,0
[12:38:00.368 29/11/2023],-194277.6,-111160.5,-146410.5,-207986.9,-186042.8,-180823.3,-202441.5,-158241.1,0.05,0.02,1.02,-4,-2,-4,89,0
[12:38:00.372 29/11/2023],-194298.2,-111180,-146425,-207993.1,-186055.9,-180841.1,-202457.8,-158257.8,0.05,0.02,1.02,-4,-2,-4,89,0
[12:38:00.376 29/11/2023],-194296.4,-111177.3,-146412.7,-207981,-186049.6,-180826.8,-202448.1,-158255.9,0.05,0.02,1.02,-4,-2,-4,89,0
[12:38:00.380 29/11/2023],-194253.6,-111139.1,-146370.2,-207937.3,-185999.5,-180785.9,-202401.6,-158211.6,0.05,0.02,1.02,-4,-2,-4,89,0
[12:38:00.384 29/11/2023],-194265.8,-111143.6,-146377.4,-207935.6,-186003.9,-180789.2,-202407,-158216,0.05,0.02,1.02,-4,-2,-4,89,0
[12:38:00.388 29/11/2023],-194278.7,-111149.9,-146387,-207949.8,-186024.5,-180787.9,-202418.5,-158224.7,0.05,0.02,1.02,-4,-2,-4,89,0
[12:38:00.392 29/11/2023],-194283.2,-111152,-146383.2,-207964.5,-186025.4,-180808.8,-202426.4,-158228.4,0.05,0.02,1.02,-4,-2,-4,89,0
[12:38:00.396 29/11/2023],-194264.3,-111129.6,-146364.2,-207952.1,-186030.4,-180797.7,-202414,-158215.3,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.400 29/11/2023],-194260.3,-111118.9,-146362.4,-207937,-186016.3,-180775.1,-202408.9,-158210,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.404 29/11/2023],-194260.2,-111134.4,-146370.6,-207938.7,-185997.4,-180796.8,-202413.2,-158217.4,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.408 29/11/2023],-194263.7,-111145.1,-146385.1,-207955,-186012.1,-180804.8,-202424.5,-158228,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.412 29/11/2023],-194253.4,-111140.6,-146372.3,-207943.6,-186021.9,-180781.3,-202413.9,-158213,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.416 29/11/2023],-194244.5,-111129.1,-146359.3,-207921.4,-186002.5,-180796.5,-202398.8,-158200.5,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.420 29/11/2023],-194255,-111122.2,-146363.6,-207920.7,-186009.5,-180792.6,-202399.6,-158200.6,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.424 29/11/2023],-194256.5,-111111.1,-146354.1,-207918.8,-185993.4,-180781.1,-202389.9,-158193.8,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.428 29/11/2023],-194231.1,-111108.1,-146342.9,-207913.2,-185989,-180773.3,-202374.4,-158183.2,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.432 29/11/2023],-194215,-111099.6,-146327.1,-207899.8,-186000.3,-180764.3,-202368.8,-158168,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.436 29/11/2023],-194228.7,-111110.7,-146344.4,-207913.1,-185997.4,-180766.1,-202387,-158178.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.440 29/11/2023],-194230.6,-111108.2,-146345.9,-207919.3,-185985.5,-180762.4,-202384.1,-158180.4,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.444 29/11/2023],-194249.6,-111129.5,-146356.3,-207937.8,-186008.6,-180770.8,-202394.6,-158197.7,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.448 29/11/2023],-194262.9,-111132.9,-146360.4,-207936.9,-186010.7,-180789.5,-202398.2,-158203.9,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.452 29/11/2023],-194244,-111113.5,-146354.9,-207917.1,-185998.1,-180783.8,-202383.7,-158188.1,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.456 29/11/2023],-194216.8,-111095,-146332.4,-207896,-185980.6,-180759.4,-202367.1,-158162.1,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.460 29/11/2023],-194198.4,-111068.4,-146295.7,-207873.5,-185962,-180747.7,-202347.6,-158142.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.464 29/11/2023],-194202.9,-111059.1,-146298.3,-207870.2,-185954.4,-180745,-202350.6,-158140.2,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.468 29/11/2023],-194224.8,-111081.1,-146325.7,-207898.1,-185967,-180750.3,-202374.8,-158162.1,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.472 29/11/2023],-194236.9,-111101.3,-146342.8,-207914,-186002.3,-180750.5,-202389.8,-158177.3,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.476 29/11/2023],-194234.4,-111111,-146351.7,-207919.5,-186003.7,-180779.7,-202394.1,-158186.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.480 29/11/2023],-194214.7,-111090,-146340.5,-207907.7,-186014.4,-180781.9,-202380.1,-158177.6,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.484 29/11/2023],-194196.8,-111075,-146332,-207899.8,-186002.8,-180756.4,-202371.8,-158169.3,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.488 29/11/2023],-194235.4,-111113.2,-146358.1,-207930.5,-185982,-180756.6,-202393.1,-158191.2,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.492 29/11/2023],-194252.8,-111116.6,-146354.1,-207911.9,-185986.7,-180773.7,-202389.9,-158185.2,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.496 29/11/2023],-194228.5,-111089.8,-146330,-207894,-185999.4,-180766.9,-202365.8,-158166.6,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.500 29/11/2023],-194227.9,-111087.1,-146335.6,-207904.1,-185992.8,-180762.8,-202371.2,-158164,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.504 29/11/2023],-194228.6,-111093.8,-146340,-207902.2,-185990.7,-180739,-202386.1,-158174.2,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.508 29/11/2023],-194259.9,-111134.5,-146368.5,-207933.7,-186025.5,-180795.3,-202414.1,-158210.8,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.512 29/11/2023],-194256.3,-111131.2,-146365.3,-207938.1,-186027.7,-180790.8,-202410,-158206.6,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.516 29/11/2023],-194236.5,-111109.3,-146355.6,-207924.3,-186005.2,-180776.3,-202398.7,-158191.8,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.520 29/11/2023],-194225.1,-111106.2,-146350.1,-207920.4,-186000,-180778.9,-202390.7,-158191.2,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.524 29/11/2023],-194205.5,-111090.6,-146323.1,-207900.6,-185972.8,-180732.7,-202368.1,-158175.3,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.528 29/11/2023],-194211.4,-111088.2,-146322.3,-207897.5,-185957.8,-180754.2,-202368.6,-158173,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.532 29/11/2023],-194221.8,-111096.9,-146334.9,-207900.6,-185966.5,-180789.2,-202377.7,-158180.4,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.536 29/11/2023],-194229.4,-111102.4,-146350.2,-207917.2,-185999.5,-180792.1,-202391.3,-158196.8,0.05,0.00,1.00,-4,-2,-4,89,0
[12:38:00.540 29/11/2023],-194250.9,-111120.2,-146365.6,-207936.6,-186024.5,-180803.7,-202411,-158218,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.544 29/11/2023],-194262.9,-111126.9,-146364,-207941.5,-186034.2,-180804.6,-202413.5,-158220.9,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.548 29/11/2023],-194266,-111125.1,-146374.1,-207951.5,-186014.5,-180789.3,-202421.2,-158223.3,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.552 29/11/2023],-194276,-111140.6,-146388.6,-207957.1,-186036,-180814,-202431.5,-158222.9,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.556 29/11/2023],-194255.7,-111139.4,-146376.2,-207943.5,-186037.4,-180807.8,-202416.8,-158216.3,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.560 29/11/2023],-194244.8,-111128.9,-146373.6,-207930.4,-186034.7,-180824.3,-202409.5,-158215,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.564 29/11/2023],-194238.5,-111097.7,-146354,-207913.1,-186017,-180792.5,-202393.1,-158195.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.568 29/11/2023],-194240,-111107.5,-146353.7,-207916.5,-186004,-180797.8,-202392.8,-158197.4,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.572 29/11/2023],-194241.1,-111127.1,-146352.4,-207917.1,-186018.3,-180818.2,-202398.3,-158199.7,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.576 29/11/2023],-194275.8,-111156.5,-146385.5,-207943,-186024.5,-180844.7,-202424,-158229.3,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.580 29/11/2023],-194258.4,-111133.6,-146375.8,-207926.7,-186010.4,-180822.2,-202403.7,-158210.5,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.584 29/11/2023],-194252.9,-111119.4,-146369.9,-207924.5,-186027.2,-180818.3,-202400.2,-158209.1,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.588 29/11/2023],-194251.4,-111115.8,-146366.1,-207930.3,-186035.9,-180824.6,-202407.5,-158214.9,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.592 29/11/2023],-194229.5,-111105.6,-146349.3,-207917.1,-186017.3,-180791.7,-202392.4,-158197.7,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.596 29/11/2023],-194213.8,-111106.3,-146337.4,-207906.1,-185996.2,-180786.1,-202377.1,-158186.3,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.600 29/11/2023],-194207.2,-111098,-146337.8,-207883,-185977.1,-180781.1,-202368.6,-158176.8,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.604 29/11/2023],-194216.3,-111081.7,-146330.5,-207884.4,-185975.6,-180766,-202367.3,-158167.1,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.608 29/11/2023],-194221.5,-111072.7,-146325.2,-207887.3,-185985.5,-180780.7,-202369.3,-158161,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.612 29/11/2023],-194197.8,-111066.1,-146303.8,-207865.5,-185979.4,-180757.3,-202351.5,-158145.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.616 29/11/2023],-194197.7,-111081,-146300,-207863.5,-185976.3,-180762.2,-202352.3,-158147.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.620 29/11/2023],-194215.6,-111099.5,-146319.4,-207889.9,-185990.2,-180764.3,-202370.1,-158164.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.624 29/11/2023],-194214.7,-111082.1,-146310.2,-207878.7,-185981.1,-180760.4,-202357.5,-158159.2,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.628 29/11/2023],-194202.9,-111054.5,-146302.8,-207859.1,-185976.6,-180740.5,-202339.9,-158139.9,0.03,0.00,1.02,-4,-2,-4,89,0
