'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[11:15:10.996 26/09/2023]',0.15,5.03,0.11,0.12,0.09,0.08,0.13,1.20,0.33,6.49,0.21,0.25,0.20,0.18,0.21,2.70,0.41,7.56,0.42,0.36,0.31,0.29,0.42,5.00,0.86,10.22,0.80,0.97,0.91,1.04,2.25,8.40,1.55,7.19,1.47,1.50,1.42,1.46,2.62,8.36,0
'[11:15:11.099 26/09/2023]',0.14,4.90,0.11,0.11,0.08,0.07,0.12,1.18,0.32,6.15,0.21,0.24,0.20,0.17,0.20,2.68,0.42,7.25,0.41,0.34,0.31,0.28,0.41,4.72,0.89,9.96,0.80,0.95,0.90,1.03,2.21,8.37,1.60,7.05,1.52,1.56,1.47,1.50,2.56,8.67,0
'[11:15:11.186 26/09/2023]',0.14,4.74,0.10,0.11,0.08,0.07,0.12,1.13,0.32,5.79,0.21,0.23,0.19,0.16,0.20,2.65,0.43,7.10,0.39,0.33,0.31,0.27,0.39,4.40,0.94,9.67,0.81,0.93,0.91,1.02,2.25,8.43,1.65,6.90,1.56,1.61,1.51,1.55,2.50,8.95,0
'[11:15:11.285 26/09/2023]',0.13,4.60,0.10,0.10,0.08,0.07,0.12,1.14,0.30,5.56,0.20,0.22,0.19,0.16,0.20,2.68,0.43,6.96,0.38,0.31,0.31,0.26,0.38,4.17,0.98,9.36,0.84,0.92,0.93,1.02,2.31,8.46,1.69,6.73,1.61,1.65,1.55,1.58,2.42,9.18,0
'[11:15:11.386 26/09/2023]',0.12,4.39,0.09,0.10,0.07,0.06,0.11,1.14,0.29,5.37,0.19,0.22,0.17,0.15,0.19,2.66,0.43,6.83,0.39,0.30,0.30,0.26,0.38,4.06,1.01,9.05,0.88,0.90,0.96,1.03,2.39,8.41,1.73,6.54,1.64,1.69,1.59,1.61,2.34,9.41,0
'[11:15:11.415 26/09/2023]',0.12,4.17,0.09,0.09,0.07,0.06,0.11,1.10,0.27,5.26,0.18,0.22,0.16,0.16,0.19,2.59,0.44,6.84,0.40,0.29,0.30,0.26,0.37,3.98,1.03,8.82,0.92,0.89,1.00,1.03,2.48,8.39,1.77,6.36,1.68,1.73,1.62,1.64,2.25,9.62,0
'[11:15:11.449 26/09/2023]',0.12,3.95,0.09,0.09,0.07,0.06,0.11,1.08,0.27,5.30,0.18,0.22,0.16,0.16,0.19,2.55,0.43,6.75,0.39,0.29,0.31,0.27,0.37,3.96,1.05,8.59,0.95,0.89,1.03,1.02,2.57,8.36,1.80,6.20,1.72,1.76,1.65,1.66,2.27,9.80,0
'[11:15:11.480 26/09/2023]',0.12,3.85,0.08,0.09,0.07,0.06,0.11,1.03,0.26,5.42,0.17,0.21,0.16,0.15,0.18,2.52,0.43,6.72,0.39,0.29,0.32,0.26,0.37,3.94,1.06,8.48,0.98,0.89,1.06,1.01,2.67,8.28,1.83,6.28,1.75,1.80,1.68,1.68,2.30,9.98,0
'[11:15:11.512 26/09/2023]',0.11,3.78,0.08,0.09,0.06,0.06,0.11,1.02,0.26,5.53,0.17,0.21,0.15,0.15,0.17,2.47,0.42,6.74,0.39,0.30,0.33,0.25,0.37,3.88,1.06,8.29,1.02,0.88,1.08,1.03,2.78,8.10,1.86,6.36,1.79,1.83,1.71,1.70,2.35,10.13,0
'[11:15:11.542 26/09/2023]',0.11,3.65,0.08,0.08,0.06,0.05,0.10,1.01,0.25,5.73,0.17,0.20,0.15,0.14,0.17,2.42,0.41,6.81,0.39,0.30,0.33,0.25,0.37,3.86,1.07,8.06,1.05,0.86,1.10,1.05,2.90,7.88,1.89,6.41,1.82,1.86,1.74,1.72,2.40,10.26,0
'[11:15:11.572 26/09/2023]',0.10,3.53,0.07,0.08,0.06,0.05,0.10,1.00,0.25,5.92,0.16,0.19,0.14,0.14,0.16,2.37,0.41,6.85,0.38,0.29,0.34,0.25,0.36,3.85,1.09,7.85,1.08,0.85,1.13,1.05,2.99,7.67,1.91,6.44,1.85,1.89,1.76,1.73,2.43,10.36,0
'[11:15:11.603 26/09/2023]',0.10,3.53,0.07,0.07,0.06,0.05,0.11,0.98,0.24,6.12,0.16,0.18,0.14,0.14,0.17,2.28,0.39,6.88,0.36,0.29,0.34,0.25,0.37,3.90,1.07,7.56,1.11,0.84,1.16,1.05,3.09,7.45,1.90,6.48,1.85,1.92,1.79,1.75,2.43,10.49,0
'[11:15:11.634 26/09/2023]',0.10,3.74,0.07,0.08,0.06,0.05,0.11,1.02,0.23,6.12,0.15,0.19,0.15,0.14,0.18,2.23,0.38,6.64,0.36,0.30,0.33,0.26,0.36,3.87,1.07,7.06,1.11,0.82,1.18,1.06,3.15,6.97,1.86,6.38,1.81,1.91,1.79,1.74,2.42,10.39,0
'[11:15:11.657 26/09/2023]',0.09,3.95,0.07,0.08,0.06,0.05,0.10,0.98,0.23,6.06,0.15,0.19,0.14,0.14,0.17,2.14,0.37,6.33,0.35,0.30,0.34,0.26,0.37,3.76,1.06,6.90,1.11,0.82,1.21,1.05,3.22,6.54,1.80,6.18,1.75,1.88,1.75,1.70,2.42,10.14,0
'[11:15:11.681 26/09/2023]',0.09,4.21,0.07,0.07,0.06,0.05,0.10,0.91,0.21,5.94,0.15,0.19,0.15,0.14,0.16,2.04,0.35,5.95,0.34,0.29,0.34,0.25,0.37,3.65,1.04,6.76,1.10,0.82,1.22,1.05,3.30,6.15,1.73,5.95,1.68,1.82,1.70,1.64,2.38,9.79,0
'[11:15:11.726 26/09/2023]',0.09,4.38,0.07,0.07,0.06,0.05,0.10,0.89,0.20,5.90,0.16,0.19,0.14,0.14,0.16,1.90,0.35,5.52,0.33,0.29,0.34,0.25,0.39,3.46,1.03,6.61,1.08,0.81,1.21,1.07,3.36,5.94,1.66,5.68,1.62,1.74,1.63,1.57,2.35,9.37,0
'[11:15:11.757 26/09/2023]',0.09,4.62,0.07,0.07,0.06,0.05,0.10,0.84,0.19,5.83,0.15,0.18,0.14,0.14,0.15,1.82,0.34,5.23,0.32,0.30,0.34,0.26,0.38,3.24,1.02,6.53,1.05,0.80,1.20,1.09,3.41,5.77,1.59,5.41,1.55,1.67,1.56,1.50,2.32,8.96,0
'[11:15:11.788 26/09/2023]',0.09,4.81,0.07,0.07,0.06,0.04,0.10,0.82,0.18,5.72,0.15,0.17,0.14,0.13,0.16,1.75,0.34,5.06,0.31,0.30,0.34,0.25,0.40,3.17,1.00,6.47,1.02,0.78,1.19,1.10,3.43,5.79,1.54,5.18,1.50,1.61,1.50,1.43,2.36,8.57,0
'[11:15:11.823 26/09/2023]',0.08,4.97,0.06,0.06,0.05,0.04,0.09,0.79,0.17,5.62,0.15,0.17,0.13,0.13,0.16,1.66,0.34,4.94,0.31,0.30,0.34,0.25,0.41,3.19,0.98,6.37,1.00,0.76,1.17,1.11,3.47,5.78,1.48,4.98,1.44,1.55,1.44,1.37,2.43,8.23,0
'[11:15:11.846 26/09/2023]',0.08,5.15,0.07,0.06,0.05,0.04,0.09,0.80,0.17,5.54,0.14,0.16,0.13,0.12,0.15,1.57,0.34,4.83,0.31,0.30,0.34,0.25,0.43,3.25,0.95,6.27,0.98,0.75,1.15,1.11,3.52,5.74,1.42,4.80,1.38,1.49,1.38,1.33,2.48,7.91,0
'[11:15:11.871 26/09/2023]',0.08,5.28,0.07,0.06,0.05,0.04,0.09,0.77,0.17,5.42,0.14,0.15,0.13,0.12,0.14,1.53,0.34,4.68,0.31,0.30,0.34,0.25,0.44,3.29,0.92,6.10,0.97,0.75,1.13,1.11,3.53,5.66,1.37,4.66,1.31,1.44,1.33,1.31,2.51,7.63,0
'[11:15:11.898 26/09/2023]',0.07,5.39,0.06,0.06,0.06,0.04,0.09,0.74,0.16,5.31,0.13,0.14,0.13,0.13,0.14,1.48,0.33,4.57,0.32,0.31,0.34,0.25,0.47,3.30,0.89,6.09,0.95,0.75,1.10,1.12,3.55,5.52,1.30,4.53,1.24,1.38,1.28,1.28,2.52,7.35,0
'[11:15:11.930 26/09/2023]',0.07,5.46,0.06,0.06,0.05,0.05,0.09,0.77,0.15,5.18,0.14,0.14,0.13,0.12,0.15,1.41,0.34,4.55,0.33,0.32,0.33,0.27,0.50,3.25,0.89,6.14,0.92,0.75,1.07,1.11,3.56,5.34,1.23,4.37,1.20,1.32,1.26,1.26,2.52,6.96,0
'[11:15:11.960 26/09/2023]',0.07,5.56,0.06,0.06,0.05,0.05,0.08,0.81,0.15,5.11,0.13,0.13,0.12,0.12,0.14,1.38,0.36,4.50,0.35,0.34,0.32,0.29,0.53,3.21,0.89,6.13,0.88,0.74,1.05,1.10,3.56,5.44,1.21,4.16,1.20,1.26,1.24,1.24,2.54,6.54,0
'[11:15:11.995 26/09/2023]',0.07,5.62,0.06,0.06,0.05,0.05,0.09,0.82,0.14,5.01,0.13,0.14,0.12,0.12,0.15,1.33,0.37,4.45,0.36,0.36,0.34,0.31,0.53,3.12,0.90,6.09,0.87,0.72,1.03,1.11,3.58,5.58,1.20,4.28,1.18,1.25,1.23,1.22,2.55,6.42,0
'[11:15:12.034 26/09/2023]',0.07,5.68,0.06,0.06,0.05,0.05,0.08,0.83,0.14,5.08,0.13,0.13,0.12,0.12,0.15,1.29,0.38,4.39,0.36,0.37,0.35,0.32,0.55,3.04,0.90,6.07,0.89,0.70,1.01,1.10,3.61,5.90,1.18,4.34,1.17,1.24,1.22,1.21,2.56,6.38,0
'[11:15:12.063 26/09/2023]',0.07,5.71,0.06,0.05,0.05,0.05,0.08,0.83,0.14,5.19,0.13,0.14,0.13,0.12,0.15,1.26,0.39,4.40,0.36,0.37,0.36,0.33,0.56,3.08,0.90,5.95,0.91,0.69,0.99,1.10,3.62,6.26,1.16,4.35,1.14,1.22,1.20,1.19,2.58,6.30,0
'[11:15:12.090 26/09/2023]',0.06,5.74,0.06,0.05,0.05,0.04,0.09,0.84,0.14,5.26,0.14,0.14,0.14,0.12,0.15,1.23,0.40,4.39,0.36,0.38,0.37,0.33,0.57,3.13,0.90,5.98,0.94,0.69,0.98,1.09,3.62,6.58,1.13,4.39,1.11,1.19,1.17,1.16,2.57,6.21,0
'[11:15:12.119 26/09/2023]',0.07,5.77,0.06,0.05,0.05,0.04,0.09,0.83,0.14,5.32,0.15,0.14,0.15,0.13,0.15,1.23,0.40,4.35,0.35,0.39,0.37,0.34,0.57,3.20,0.88,6.13,0.96,0.69,0.97,1.07,3.63,6.87,1.10,4.45,1.08,1.17,1.14,1.13,2.56,6.07,0
'[11:15:12.143 26/09/2023]',0.07,5.76,0.06,0.05,0.05,0.04,0.09,0.81,0.13,5.38,0.15,0.14,0.15,0.12,0.14,1.19,0.39,4.36,0.34,0.38,0.37,0.34,0.56,3.23,0.86,6.26,1.00,0.68,0.96,1.04,3.63,7.13,1.09,4.53,1.04,1.14,1.11,1.10,2.54,5.92,0
'[11:15:12.171 26/09/2023]',0.06,5.70,0.06,0.05,0.05,0.04,0.09,0.77,0.14,5.40,0.15,0.14,0.15,0.12,0.14,1.11,0.38,4.40,0.32,0.37,0.36,0.33,0.56,3.33,0.85,6.34,1.03,0.67,0.94,1.00,3.60,7.33,1.11,4.54,1.04,1.10,1.08,1.11,2.51,5.77,0
'[11:15:12.204 26/09/2023]',0.06,5.69,0.06,0.05,0.05,0.04,0.09,0.82,0.15,5.58,0.14,0.15,0.15,0.13,0.14,1.16,0.37,4.60,0.31,0.37,0.34,0.32,0.55,3.41,0.84,6.24,1.06,0.67,0.92,0.96,3.55,7.41,1.13,4.62,1.05,1.06,1.04,1.13,2.48,5.60,0
'[11:15:12.231 26/09/2023]',0.06,5.72,0.06,0.05,0.05,0.05,0.09,0.82,0.15,5.60,0.14,0.15,0.16,0.14,0.14,1.19,0.36,4.80,0.31,0.36,0.32,0.31,0.56,3.40,0.83,6.05,1.09,0.68,0.88,0.91,3.47,7.45,1.16,4.63,1.05,1.01,1.00,1.13,2.41,5.41,0
'[11:15:12.316 26/09/2023]',0.06,5.65,0.06,0.05,0.05,0.04,0.09,0.81,0.15,5.65,0.14,0.16,0.17,0.15,0.15,1.16,0.36,4.95,0.32,0.35,0.32,0.30,0.55,3.33,0.82,6.15,1.12,0.72,0.87,0.94,3.39,7.46,1.18,4.69,1.04,0.99,0.97,1.12,2.36,5.24,0
'[11:15:12.552 26/09/2023]',0.06,5.48,0.06,0.05,0.05,0.04,0.08,0.83,0.15,5.66,0.13,0.16,0.17,0.15,0.15,1.10,0.36,5.18,0.32,0.35,0.31,0.29,0.55,3.25,0.85,6.35,1.14,0.75,0.90,0.97,3.30,7.42,1.19,4.74,1.05,0.99,0.95,1.11,2.29,5.22,0
'[11:15:12.797 26/09/2023]',0.06,5.25,0.06,0.04,0.05,0.04,0.08,0.81,0.16,5.54,0.13,0.17,0.18,0.15,0.15,1.07,0.36,5.29,0.32,0.34,0.30,0.27,0.53,3.23,0.89,6.64,1.17,0.79,0.93,0.99,3.20,7.38,1.19,4.75,1.07,1.00,0.96,1.09,2.25,5.33,0
'[11:15:13.005 26/09/2023]',0.06,5.10,0.06,0.04,0.05,0.04,0.08,0.80,0.16,5.36,0.13,0.17,0.19,0.15,0.15,1.05,0.35,5.40,0.32,0.33,0.29,0.25,0.53,3.32,0.92,6.85,1.19,0.82,0.97,1.02,3.05,7.35,1.20,4.69,1.09,1.01,0.98,1.08,2.23,5.43,0
'[11:15:13.109 26/09/2023]',0.06,4.79,0.06,0.04,0.05,0.04,0.09,0.81,0.17,5.28,0.14,0.18,0.19,0.15,0.16,1.06,0.35,5.43,0.31,0.32,0.27,0.24,0.51,3.42,0.95,6.95,1.21,0.85,1.00,1.05,2.88,7.35,1.19,4.64,1.11,1.03,1.00,1.05,2.21,5.51,0
'[11:15:13.185 26/09/2023]',0.06,4.51,0.06,0.04,0.05,0.04,0.09,0.86,0.17,5.23,0.14,0.18,0.20,0.15,0.16,1.07,0.34,5.44,0.32,0.31,0.26,0.23,0.50,3.51,0.97,6.97,1.22,0.87,1.03,1.07,2.72,7.41,1.19,4.61,1.13,1.05,1.02,1.06,2.20,5.58,0
'[11:15:13.255 26/09/2023]',0.06,4.23,0.06,0.04,0.04,0.04,0.08,0.82,0.17,5.13,0.14,0.18,0.20,0.15,0.17,1.03,0.34,5.39,0.32,0.29,0.25,0.21,0.49,3.51,0.98,6.90,1.24,0.89,1.06,1.09,2.57,7.43,1.20,4.51,1.14,1.07,1.04,1.09,2.18,5.66,0
'[11:15:13.303 26/09/2023]',0.06,4.00,0.06,0.04,0.04,0.04,0.08,0.84,0.18,5.00,0.15,0.19,0.20,0.16,0.17,1.05,0.34,5.36,0.31,0.29,0.25,0.20,0.48,3.45,1.00,6.88,1.27,0.91,1.09,1.10,2.55,7.41,1.20,4.62,1.15,1.09,1.05,1.10,2.17,5.72,0
'[11:15:13.333 26/09/2023]',0.06,3.99,0.07,0.05,0.04,0.04,0.08,0.84,0.18,4.84,0.14,0.19,0.20,0.15,0.17,1.09,0.33,5.50,0.30,0.28,0.24,0.20,0.47,3.45,1.02,6.87,1.28,0.94,1.13,1.13,2.56,7.43,1.21,4.66,1.15,1.10,1.06,1.12,2.14,5.77,0
'[11:15:13.357 26/09/2023]',0.06,4.02,0.07,0.05,0.05,0.04,0.09,0.83,0.19,4.72,0.15,0.19,0.20,0.15,0.19,1.11,0.32,5.63,0.29,0.28,0.24,0.21,0.48,3.42,1.02,6.81,1.28,0.96,1.15,1.15,2.53,7.42,1.20,4.73,1.16,1.11,1.07,1.12,2.11,5.82,0
'[11:15:13.386 26/09/2023]',0.06,4.07,0.07,0.05,0.05,0.05,0.08,0.86,0.19,4.68,0.16,0.20,0.21,0.16,0.18,1.19,0.33,5.80,0.30,0.28,0.27,0.22,0.47,3.48,1.02,6.68,1.27,0.97,1.15,1.16,2.49,7.39,1.20,4.86,1.16,1.12,1.08,1.13,2.08,5.88,0
'[11:15:13.410 26/09/2023]',0.06,4.21,0.07,0.06,0.05,0.05,0.09,0.82,0.18,4.68,0.16,0.20,0.22,0.16,0.17,1.23,0.34,5.88,0.30,0.28,0.29,0.24,0.47,3.59,1.01,6.55,1.25,0.97,1.14,1.15,2.44,7.49,1.20,5.00,1.17,1.13,1.09,1.13,2.05,5.92,0
'[11:15:13.438 26/09/2023]',0.06,4.33,0.07,0.06,0.05,0.05,0.08,0.81,0.18,4.67,0.15,0.19,0.22,0.16,0.17,1.21,0.34,5.93,0.30,0.27,0.31,0.24,0.46,3.64,0.99,6.45,1.22,0.95,1.12,1.14,2.42,7.53,1.19,5.13,1.17,1.13,1.09,1.14,2.06,5.99,0
'[11:15:13.471 26/09/2023]',0.06,4.41,0.07,0.06,0.05,0.05,0.08,0.80,0.19,4.62,0.15,0.19,0.22,0.16,0.17,1.18,0.35,5.99,0.31,0.25,0.32,0.25,0.45,3.71,0.96,6.29,1.18,0.93,1.10,1.12,2.41,7.55,1.16,5.25,1.17,1.14,1.09,1.13,2.06,6.03,0
'[11:15:13.494 26/09/2023]',0.06,4.48,0.07,0.06,0.05,0.05,0.09,0.80,0.19,4.58,0.15,0.18,0.22,0.16,0.18,1.19,0.36,6.01,0.31,0.26,0.34,0.26,0.45,3.72,0.93,6.37,1.14,0.89,1.08,1.10,2.39,7.52,1.13,5.31,1.16,1.14,1.09,1.13,2.06,6.07,0
'[11:15:13.518 26/09/2023]',0.07,4.53,0.07,0.06,0.05,0.05,0.08,0.82,0.18,4.51,0.15,0.19,0.22,0.16,0.17,1.21,0.36,6.04,0.31,0.27,0.35,0.28,0.44,3.69,0.90,6.74,1.11,0.85,1.05,1.07,2.41,7.45,1.09,5.28,1.17,1.14,1.09,1.12,2.09,6.11,0
'[11:15:13.556 26/09/2023]',0.07,4.60,0.07,0.06,0.05,0.05,0.08,0.85,0.18,4.48,0.15,0.18,0.22,0.16,0.16,1.23,0.35,6.10,0.31,0.27,0.36,0.28,0.43,3.67,0.88,7.12,1.10,0.82,1.03,1.05,2.46,7.40,1.07,5.22,1.16,1.14,1.09,1.12,2.13,6.17,0
'[11:15:13.583 26/09/2023]',0.07,4.59,0.07,0.07,0.05,0.05,0.08,0.81,0.18,4.43,0.16,0.17,0.22,0.17,0.15,1.22,0.35,6.22,0.31,0.28,0.36,0.28,0.42,3.56,0.88,7.38,1.09,0.80,1.01,1.03,2.51,7.19,1.04,5.06,1.12,1.13,1.08,1.11,2.15,6.13,0
'[11:15:13.609 26/09/2023]',0.06,4.55,0.07,0.07,0.05,0.05,0.07,0.79,0.18,4.36,0.16,0.17,0.22,0.17,0.15,1.18,0.34,6.40,0.31,0.28,0.37,0.29,0.41,3.62,0.88,7.62,1.07,0.83,0.99,1.02,2.58,7.02,1.00,5.01,1.09,1.10,1.04,1.07,2.18,6.01,0
'[11:15:13.659 26/09/2023]',0.06,4.55,0.07,0.07,0.05,0.05,0.07,0.77,0.18,4.24,0.17,0.17,0.22,0.17,0.15,1.14,0.33,6.63,0.31,0.28,0.37,0.29,0.40,3.70,0.91,7.87,1.05,0.87,0.97,1.00,2.62,6.88,0.96,5.03,1.04,1.06,1.00,1.03,2.18,5.82,0
'[11:15:13.677 26/09/2023]',0.06,4.59,0.07,0.07,0.05,0.05,0.08,0.77,0.18,4.27,0.17,0.18,0.21,0.17,0.15,1.11,0.32,6.91,0.31,0.28,0.38,0.30,0.41,3.78,0.94,8.07,1.02,0.91,0.95,0.98,2.62,6.81,0.91,5.01,1.00,1.01,0.96,0.99,2.17,5.60,0
'[11:15:13.700 26/09/2023]',0.06,4.49,0.07,0.07,0.05,0.05,0.08,0.80,0.19,4.30,0.17,0.18,0.21,0.17,0.15,1.10,0.30,7.17,0.29,0.27,0.38,0.30,0.41,3.87,0.97,8.15,0.99,0.94,0.94,0.95,2.61,6.80,0.87,5.03,0.96,0.96,0.91,0.94,2.16,5.40,0
'[11:15:13.730 26/09/2023]',0.06,4.49,0.07,0.06,0.05,0.05,0.08,0.75,0.19,4.27,0.17,0.19,0.20,0.16,0.16,1.05,0.29,7.29,0.29,0.26,0.37,0.29,0.43,3.86,0.98,8.12,0.94,0.96,0.91,0.96,2.59,6.88,0.84,4.95,0.92,0.92,0.87,0.89,2.14,5.38,0
'[11:15:13.755 26/09/2023]',0.06,4.45,0.06,0.06,0.05,0.06,0.08,0.71,0.20,4.29,0.18,0.19,0.20,0.16,0.16,0.99,0.28,7.36,0.28,0.26,0.37,0.28,0.44,3.84,1.00,8.15,0.91,0.97,0.87,0.97,2.56,6.95,0.86,4.95,0.88,0.89,0.84,0.92,2.10,5.51,0
'[11:15:13.792 26/09/2023]',0.05,4.40,0.06,0.06,0.05,0.06,0.08,0.71,0.21,4.33,0.19,0.20,0.20,0.16,0.16,0.96,0.26,7.45,0.29,0.25,0.36,0.28,0.45,3.84,1.02,8.19,0.92,0.98,0.84,0.99,2.52,6.99,0.90,4.89,0.85,0.85,0.80,0.96,2.06,5.59,0
'[11:15:13.817 26/09/2023]',0.05,4.32,0.06,0.06,0.05,0.06,0.08,0.70,0.21,4.40,0.19,0.20,0.20,0.16,0.16,0.94,0.26,7.51,0.29,0.24,0.35,0.27,0.47,3.79,1.04,8.26,0.97,1.01,0.86,1.02,2.48,7.05,0.95,4.84,0.82,0.82,0.77,1.01,2.02,5.69,0
'[11:15:13.843 26/09/2023]',0.05,4.25,0.06,0.06,0.05,0.05,0.08,0.68,0.21,4.47,0.20,0.21,0.21,0.16,0.17,0.95,0.26,7.62,0.31,0.24,0.34,0.26,0.48,3.79,1.05,8.22,1.00,1.05,0.89,1.05,2.44,7.07,0.99,4.87,0.79,0.79,0.74,1.04,1.97,5.82,0
'[11:15:13.871 26/09/2023]',0.06,4.20,0.06,0.06,0.05,0.05,0.07,0.65,0.22,4.50,0.21,0.21,0.20,0.16,0.17,0.98,0.27,7.69,0.33,0.25,0.32,0.24,0.50,3.79,1.05,8.12,1.02,1.08,0.91,1.08,2.38,7.00,1.06,4.82,0.78,0.82,0.70,1.07,1.89,5.80,0
'[11:15:13.901 26/09/2023]',0.06,4.32,0.07,0.06,0.06,0.06,0.08,0.65,0.23,4.81,0.21,0.23,0.20,0.16,0.18,0.93,0.28,8.26,0.34,0.28,0.31,0.23,0.49,3.71,1.04,8.12,1.03,1.13,0.93,1.11,2.33,6.93,1.12,5.07,0.81,0.87,0.71,1.14,1.84,5.92,0
'[11:15:13.932 26/09/2023]',0.07,4.35,0.06,0.07,0.07,0.06,0.08,0.71,0.24,5.04,0.22,0.23,0.19,0.16,0.18,0.94,0.29,8.86,0.36,0.28,0.31,0.23,0.51,3.68,1.03,8.15,1.03,1.15,0.96,1.13,2.28,6.83,1.18,5.38,0.85,0.92,0.74,1.19,1.81,6.02,0
'[11:15:13.957 26/09/2023]',0.07,4.43,0.06,0.07,0.07,0.06,0.08,0.69,0.25,5.32,0.23,0.25,0.19,0.15,0.19,0.88,0.31,9.32,0.38,0.31,0.33,0.23,0.52,3.56,1.02,8.75,1.03,1.16,0.97,1.15,2.22,6.78,1.22,5.73,0.89,0.94,0.77,1.24,1.86,6.04,0
'[11:15:13.986 26/09/2023]',0.07,4.53,0.06,0.07,0.07,0.05,0.09,0.66,0.26,5.59,0.24,0.26,0.19,0.15,0.20,0.84,0.33,9.74,0.39,0.33,0.35,0.23,0.53,3.43,1.02,9.38,1.04,1.18,0.98,1.16,2.15,6.75,1.26,6.02,0.93,0.97,0.84,1.28,1.88,5.97,0
