'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'[17:15:00.148 26/09/2023]',6.287931,-79.31622,5.563756,7.845033,5.476798,-2.985039,2.187814,-57.31818
'[17:15:00.156 26/09/2023]',-0.6713575,2.621225,-9.568577,-5.683844,-4.343364,-0.6354585,-27.34649,7.157639
'[17:15:00.164 26/09/2023]',5.819013,-5.65255,4.917121,5.400316,10.54325,0.8755638,-10.58131,2.027911
'[17:15:00.172 26/09/2023]',-2.593073,34.01696,-2.364111,-0.9055142,-0.2878668,-0.5446358,-17.98948,56.6209
'[17:15:00.180 26/09/2023]',-6.308465,-16.77449,0.09789079,-0.844416,1.399555,-0.4502319,-3.613368,-21.35138
'[17:15:00.188 26/09/2023]',-2.299655,-30.76894,-2.183568,-2.645169,-2.355688,-1.829803,5.070362,-0.05722273
'[17:15:00.196 26/09/2023]',14.17176,1.184717,10.24212,6.34705,4.567276,7.678082,16.99226,-19.64931
'[17:15:00.204 26/09/2023]',-0.3019604,-53.5731,-0.604847,1.75417,-4.888098,2.043437,14.16072,-38.03889
'[17:15:00.212 26/09/2023]',-5.498225,17.60806,-8.03386,-4.383523,-7.23953,-9.104683,-20.35799,29.13521
'[17:15:00.220 26/09/2023]',10.78701,5.577921,4.51668,8.307158,7.758767,5.421755,17.66818,-47.37504
'[17:15:00.228 26/09/2023]',-11.66275,29.13467,-7.791919,-11.03593,-13.54468,-18.38725,-21.61795,137.4275
'[17:15:00.236 26/09/2023]',4.506157,3.524365,3.118332,6.513632,6.154545,2.488016,1.555946,-6.929656
'[17:15:00.244 26/09/2023]',-3.436126,-16.98999,2.402539,1.610489,4.492749,1.241097,4.547723,-3.479584
'[17:15:00.252 26/09/2023]',11.01229,-28.83172,9.181626,7.217627,9.50031,10.77814,22.82481,1.393223
'[17:15:00.260 26/09/2023]',-6.052474,73.78584,-8.895422,-7.161822,-9.155587,-6.001989,5.528355,64.56042
'[17:15:00.268 26/09/2023]',1.479285,0.5587236,3.463514,3.723705,4.942035,10.28472,1.463739,10.78979
'[17:15:00.276 26/09/2023]',7.037825,9.043998,11.95979,5.667639,9.629077,11.5608,-3.112841,-19.47578
'[17:15:00.284 26/09/2023]',-0.530176,10.37787,3.070546,0.7998524,0.7783521,-1.144482,2.490323,-24.47183
'[17:15:00.292 26/09/2023]',4.342087,57.39085,3.437888,4.511736,3.495576,3.346014,-0.1617995,24.39392
'[17:15:00.300 26/09/2023]',-3.100118,-17.22021,-10.22383,-2.687459,-9.550677,-13.53592,6.815084,16.7111
'[17:15:00.308 26/09/2023]',0.9355586,41.50647,2.02278,4.251284,2.142009,0.5189674,16.73427,38.55689
'[17:15:00.316 26/09/2023]',2.130353,-62.39445,-0.4822082,4.085733,-2.047822,2.854863,5.768554,-58.3032
'[17:15:00.324 26/09/2023]',6.476196,35.27499,3.403193,5.015042,0.7849754,3.166893,-2.270815,43.08505
'[17:15:00.332 26/09/2023]',2.581706,-8.428227,-0.3619674,1.589206,-2.427814,-1.508563,2.504114,-14.02402
'[17:15:00.340 26/09/2023]',-6.215183,-0.7287634,-4.872621,-9.722177,-2.052174,-1.619468,-18.05833,1.369401
'[17:15:00.348 26/09/2023]',1.903474,60.59224,-4.790871,-3.866126,-2.89203,2.443414,-12.80289,61.433
'[17:15:00.356 26/09/2023]',2.185902,-38.74436,-0.1300895,2.989343,-1.843643,5.828344,16.99641,-16.37856
'[17:15:00.364 26/09/2023]',-8.389354,3.425839,-4.402806,-4.263951,-2.886764,0.2863855,-10.55009,1.399106
'[17:15:00.372 26/09/2023]',-2.002212,48.74175,-4.901051,-4.572227,3.318349,-2.94438,-3.689442,7.429923
'[17:15:00.380 26/09/2023]',2.144614,25.34336,7.297712,3.29856,0.6851877,0.1347515,21.6936,-11.20578
'[17:15:00.388 26/09/2023]',6.385407,-26.67362,4.896108,7.250595,7.242058,6.632298,4.103623,-26.15558
'[17:15:00.396 26/09/2023]',-3.628804,-37.64136,-6.118237,-7.014949,-4.999874,-5.759393,-10.81031,0.09171727
'[17:15:00.404 26/09/2023]',9.702725,-42.81436,9.394311,10.5806,4.662073,0.7709718,-1.537254,-29.02041
'[17:15:00.412 26/09/2023]',9.299401,-72.27971,13.55552,10.89694,13.91647,16.34431,4.509853,-68.05438
'[17:15:00.420 26/09/2023]',-3.163671,12.35128,0.9954908,0.6639118,1.840077,-0.9468774,2.978952,2.414499
'[17:15:00.428 26/09/2023]',2.457892,-33.20781,5.783975,5.737895,3.849948,5.685555,-8.229408,-22.98741
'[17:15:00.436 26/09/2023]',1.54285,-20.82154,-1.707797,-1.21896,-1.168658,-0.5853476,1.087235,16.27006
'[17:15:00.444 26/09/2023]',-6.130821,-14.45762,-9.430466,-10.27063,-4.970571,-7.149418,-24.02478,-17.13835
'[17:15:00.452 26/09/2023]',5.881928,-9.366298,6.481985,7.362953,7.013613,4.743222,-10.09624,-12.81051
'[17:15:00.460 26/09/2023]',7.482264,81.88772,8.136971,13.49998,8.98142,7.071004,20.93921,63.20464
'[17:15:00.468 26/09/2023]',9.442134,-28.03606,3.434245,5.844218,3.106056,4.624816,-6.060126,-25.25904
'[17:15:00.476 26/09/2023]',4.159918,-0.9204444,3.075166,4.328746,4.559947,5.194993,-11.78509,-2.617518
'[17:15:00.484 26/09/2023]',5.580168,-8.814387,2.623502,2.266716,-1.631306,2.779081,10.30389,-30.8137
'[17:15:00.492 26/09/2023]',-6.352859,13.42801,-7.729255,-4.209697,-12.4514,-8.092479,-0.9033971,14.12897
'[17:15:00.500 26/09/2023]',-6.449167,-31.85919,-4.813187,-5.547893,-4.03477,-1.743629,-0.9916905,6.114601
'[17:15:00.508 26/09/2023]',0.04154962,40.06088,0.7447702,7.426782,8.004695,-0.1483985,-3.638595,7.185878
'[17:15:00.516 26/09/2023]',-4.773505,28.7094,-5.927155,-2.999397,-5.030995,-5.195049,-5.779466,60.3844
'[17:15:00.524 26/09/2023]',3.669877,-26.26001,-1.178064,2.23804,0.6404974,2.572616,-1.075652,-12.31919
'[17:15:00.532 26/09/2023]',1.353347,-13.827,-6.334436,-1.041848,2.055442,5.099606,-12.71885,-15.91163
'[17:15:00.540 26/09/2023]',-37.86644,-155.051,-35.29051,-44.54055,-32.08325,-28.00688,-44.28093,232.4588
'[17:15:00.548 26/09/2023]',-6.519899,180.7607,-6.904159,-5.783644,-7.111485,-8.833301,-1.869155,118.4063
'[17:15:00.556 26/09/2023]',4.309107,-13.77874,3.054394,3.892052,7.272236,7.263265,6.364412,-47.76466
'[17:15:00.564 26/09/2023]',13.17178,-89.15022,8.633643,7.77206,11.17685,5.670321,10.60602,-111.9024
'[17:15:00.572 26/09/2023]',0.7518818,-22.88252,0.8886005,4.798879,4.317553,3.429865,6.52578,1.727968
'[17:15:00.580 26/09/2023]',7.590843,5.261926,1.583177,5.371598,7.384676,6.498569,12.23901,-18.62259
'[17:15:00.588 26/09/2023]',10.3475,-33.2145,7.649467,8.785583,8.04574,9.74194,10.6085,-54.47438
'[17:15:00.596 26/09/2023]',3.681512,17.32948,4.45409,5.160513,5.193162,3.105936,5.351234,-36.20084
'[17:15:00.604 26/09/2023]',-7.922711,5.604259,-6.72713,-7.836548,-6.074106,-8.252535,9.279089,30.41539
'[17:15:00.612 26/09/2023]',-4.728574,1.848409,-6.33485,-7.910733,-10.95432,-7.981686,-9.724064,31.58971
'[17:15:00.620 26/09/2023]',-9.765839,22.54173,-2.737254,-7.674121,-4.387626,-6.334466,-3.448869,23.41041
'[17:15:00.628 26/09/2023]',5.037553,-41.96925,7.206671,8.884051,8.507927,10.04764,20.42107,-22.75179
'[17:15:00.636 26/09/2023]',3.061559,14.9969,11.72222,8.34751,9.1528,10.11886,10.57063,-33.29747
'[17:15:00.644 26/09/2023]',7.858881,-37.51962,9.198127,11.00982,9.279083,5.92924,12.65919,-43.96128
'[17:15:00.652 26/09/2023]',-8.405529,23.11179,-7.066592,-5.533907,-9.555965,-11.68469,-19.88849,3.997589
'[17:15:00.660 26/09/2023]',-8.462267,10.7338,-9.484385,-9.019816,-6.629435,-10.01695,-12.52777,28.80595
'[17:15:00.668 26/09/2023]',-4.623536,52.0768,-4.241773,-3.549648,-4.97172,-7.394215,-1.111485,31.1165
'[17:15:00.676 26/09/2023]',6.363318,83.93958,0.1919028,2.117458,3.900741,6.153201,-3.687078,31.77268
'[17:15:00.684 26/09/2023]',2.517987,8.296013,0.7355963,-3.113376,-1.376984,-3.362901,-0.7590147,26.15813
'[17:15:00.692 26/09/2023]',-3.090281,-44.86999,-1.911837,-2.80722,-2.725543,-4.358076,0.05501378,-27.04916
'[17:15:00.700 26/09/2023]',-1.54956,-6.323989,0.7439347,2.10257,1.534539,-0.4645757,9.480923,22.19051
'[17:15:00.708 26/09/2023]',1.17945,-9.689925,-1.715182,0.6161574,-0.9190107,-2.71018,6.965345,-24.4072
'[17:15:00.716 26/09/2023]',3.854521,9.144099,-2.285923,-2.536659,-3.344951,-4.442885,4.055568,17.11876
'[17:15:00.724 26/09/2023]',-5.640134,37.10982,-0.8490089,-1.265865,-4.349061,-5.547697,13.37682,0.7392624
'[17:15:00.732 26/09/2023]',2.150296,-17.03446,1.840411,3.850939,1.976184,-1.701815,17.29266,-5.7374
'[17:15:00.740 26/09/2023]',-6.557645,-32.51567,-3.15671,-5.940017,-3.397067,-1.230454,-8.773004,-39.59224
'[17:15:00.748 26/09/2023]',2.337986,26.42995,4.827767,5.479978,4.65437,5.469132,6.59225,13.13647
'[17:15:00.756 26/09/2023]',-5.172119,-15.33645,-1.868487,0.3148848,2.498094,6.586767,2.187017,-24.9418
'[17:15:00.764 26/09/2023]',-1.618996,-19.82721,-1.587117,-4.595257,-1.96028,-2.574051,17.40489,-23.44046
'[17:15:00.772 26/09/2023]',9.165516,-8.284623,5.826269,8.580254,5.075497,3.649328,12.9706,-26.9623
'[17:15:00.780 26/09/2023]',-8.513457,42.66735,-2.054569,-6.677097,-5.499059,-4.434591,7.453536,42.1405
'[17:15:00.788 26/09/2023]',-0.7484376,-18.48831,0.8276907,1.057557,1.677311,3.1209,9.117751,20.98992
'[17:15:00.796 26/09/2023]',-3.705888,-12.42697,-1.849616,-4.112347,-2.20579,-8.835577,-7.84186,-5.399074
'[17:15:00.804 26/09/2023]',-2.197468,37.6025,6.963841,0.50751,0.896261,-7.918017,7.588135,56.0444
'[17:15:00.812 26/09/2023]',-20.19273,-68.86674,-21.91786,-17.93404,-19.8146,-11.88238,-10.38174,167.4778
'[17:15:00.820 26/09/2023]',11.18071,7.29537,11.8763,13.48584,15.14068,12.15368,13.62476,-56.60791
'[17:15:00.828 26/09/2023]',12.42699,-37.25375,17.713,15.51795,14.82704,12.68641,12.16374,-65.83007
'[17:15:00.836 26/09/2023]',-8.161198,24.58962,-6.845984,-6.467485,-10.61229,-9.009743,-20.88095,30.74136
'[17:15:00.844 26/09/2023]',-7.878623,-5.980018,-6.435451,-11.37889,-5.134054,-8.785997,-27.25165,8.465512
'[17:15:00.852 26/09/2023]',4.440314,0.6414102,7.911541,7.841886,7.044775,5.405734,-0.6079928,-32.57455
'[17:15:00.860 26/09/2023]',8.2574,-48.21254,2.652634,12.15998,6.9244,4.605825,0.7418664,-45.33049
'[17:15:00.868 26/09/2023]',4.790287,-27.78205,3.041801,1.369615,0.6167682,3.171523,13.18787,-34.0562
'[17:15:00.876 26/09/2023]',-9.110148,19.73012,-11.42809,-10.41779,-13.28421,-10.82623,-17.28835,29.13286
'[17:15:00.884 26/09/2023]',-5.757557,18.46396,-4.547107,-5.236745,-4.668835,-0.4264513,-0.1887836,14.48724
'[17:15:00.892 26/09/2023]',1.601529,5.483737,4.600894,7.026549,4.729853,3.121614,10.93743,12.6675
'[17:15:00.900 26/09/2023]',3.647466,-1.859736,0.2585795,5.661126,0.8140664,3.238497,13.51045,-7.274065
'[17:15:00.908 26/09/2023]',7.032022,-11.56967,2.789515,5.254532,4.701119,6.234161,21.7637,-41.2466
'[17:15:00.916 26/09/2023]',-6.47529,12.78601,-6.140657,-3.695659,-3.703635,-1.118646,-21.02931,5.742543
'[17:15:00.924 26/09/2023]',-2.39689,50.94991,-7.619665,-4.342979,-7.619678,-5.200778,2.848827,40.30217
'[17:15:00.932 26/09/2023]',-2.300218,-91.04164,-3.894705,-4.644781,-4.991168,0.8917965,3.51494,-70.95691
'[17:15:00.940 26/09/2023]',5.697523,7.795102,2.484649,5.389315,3.927804,3.098504,1.256618,-15.91506
'[17:15:00.948 26/09/2023]',-9.381378,-2.425878,-4.982282,-6.788375,-3.058618,-3.164768,-17.40919,21.71025
'[17:15:00.956 26/09/2023]',-5.001307,15.17574,-6.85936,-4.084645,-3.236031,-2.354647,-19.4828,-17.87614
'[17:15:00.964 26/09/2023]',-3.987111,32.34052,-2.177798,-2.601384,-3.453383,-2.648339,-3.414001,-41.67075
'[17:15:00.972 26/09/2023]',1.752856,-58.49114,4.110195,7.718945,7.499847,2.777051,10.23739,-21.65814
'[17:15:00.980 26/09/2023]',0.2934117,-13.07796,1.483409,-0.2712575,0.7842533,1.604805,7.55048,2.08386
'[17:15:00.988 26/09/2023]',-0.2806408,-81.39846,0.7791568,-0.3795095,-1.956743,1.744424,9.372653,-39.85902
'[17:15:00.996 26/09/2023]',5.728354,7.486966,8.970586,8.166184,9.077522,11.69496,11.34277,4.231793
'[17:15:01.004 26/09/2023]',7.978109,40.86416,9.551974,7.179049,4.305324,8.927395,26.41175,7.508164
'[17:15:01.012 26/09/2023]',-3.284991,-58.13957,-4.26735,-5.222734,-1.592031,2.626466,-5.938767,-7.324084
'[17:15:01.020 26/09/2023]',0.4775193,-6.481262,-3.848428,-2.167857,-0.2731945,0.977028,10.34266,-2.434631
'[17:15:01.028 26/09/2023]',-3.771599,18.72811,-0.5952433,2.990313,0.025853,7.686495,-0.1466411,0.3569939
'[17:15:01.036 26/09/2023]',3.2685,9.592909,-2.308346,-0.2015406,-1.666819,-2.230366,-14.81022,9.030215
'[17:15:01.044 26/09/2023]',3.663933,-13.58733,-1.102906,1.166572,0.8411047,0.5646636,-5.524288,-11.67406
'[17:15:01.052 26/09/2023]',-14.13456,-19.80388,-12.9228,-13.46741,-10.78195,-12.04245,-4.784865,-1.906324
'[17:15:01.060 26/09/2023]',-3.233273,-75.04064,1.155561,-0.3746291,-1.289981,-5.133231,10.28563,-48.66542
'[17:15:01.068 26/09/2023]',-1.849081,35.03438,-7.428772,-2.98608,-4.191144,-4.210295,4.561916,41.16624
'[17:15:01.076 26/09/2023]',-8.632581,29.65158,-6.349989,-9.036916,-5.517744,-16.08114,-7.286754,42.7581
'[17:15:01.084 26/09/2023]',-2.938244,-16.43272,0.4272476,-1.608228,-1.07055,-4.961712,-3.267722,-5.37962
'[17:15:01.092 26/09/2023]',-0.3116024,-12.71157,0.4311043,-0.2847545,1.384483,-1.407314,3.893741,3.231872
'[17:15:01.100 26/09/2023]',2.913721,-13.42479,1.293981,-1.708369,0.4123417,-1.816524,4.072551,-1.469093
'[17:15:01.108 26/09/2023]',-5.828624,16.27421,-4.633125,-9.07739,-7.897086,-7.87216,-4.230227,25.06635
'[17:15:01.116 26/09/2023]',1.86658,38.7677,0.8742335,-6.145412,-1.180595,-3.881544,0.06083258,30.30146
'[17:15:01.124 26/09/2023]',-2.223573,-37.91835,-7.369984,-3.271027,1.080505,4.297615,-16.50604,-20.8438
'[17:15:01.132 26/09/2023]',2.360199,43.11962,-1.680155,-0.8432549,-0.7913843,-2.679476,-10.95969,39.27792
'[17:15:01.140 26/09/2023]',-2.706755,-32.67361,-0.06825009,0.5178869,-4.287203,1.511759,-1.2202,-36.59441
'[17:15:01.148 26/09/2023]',22.32399,-1007.083,19.94588,21.03099,21.15432,21.18245,35.81069,-150.9694
'[17:15:01.156 26/09/2023]',-9.05391,237.7435,-3.316078,-3.618492,-11.17241,-7.49725,-13.39216,-13.20335
'[17:15:01.164 26/09/2023]',-15.07707,19.96806,-13.34656,-19.22885,-17.36349,-15.58648,-36.57494,78.97789
'[17:15:01.172 26/09/2023]',-2.545297,37.56329,-4.76172,-4.029025,-1.466545,0.8325799,-2.764345,100.5342
'[17:15:01.180 26/09/2023]',-1.837549,15.82407,1.046224,-0.5118166,0.6821854,1.442988,-1.041652,46.26934
'[17:15:01.188 26/09/2023]',3.849454,-7.201641,-1.229606,0.6307635,-2.00581,-2.247433,6.119901,7.387845
'[17:15:01.196 26/09/2023]',1.261557,11.03885,-0.1321494,1.720325,-0.3375158,2.018997,0.5039942,32.32841
'[17:15:01.204 26/09/2023]',-1.070775,-15.78494,4.291404,4.526714,3.746809,2.165357,13.363,-33.93577
'[17:15:01.212 26/09/2023]',5.736008,11.8838,7.670075,4.031645,7.535158,7.037169,12.70421,-32.66734
'[17:15:01.220 26/09/2023]',4.612559,-117.6237,9.426909,4.180721,6.291877,7.155915,14.58761,-92.6588
'[17:15:01.228 26/09/2023]',-3.198568,60.1232,-1.41144,-6.996179,-0.2479873,-0.6233056,4.888311,23.64386
'[17:15:01.236 26/09/2023]',-14.90855,21.04164,-7.685909,-11.19536,-9.866297,-11.92332,7.512296,37.12909
'[17:15:01.244 26/09/2023]',-11.42274,70.65627,-13.0341,-13.07435,-8.74736,-8.790832,-9.105453,58.73783
'[17:15:01.252 26/09/2023]',-4.712818,64.84149,-7.340508,-6.119832,-4.683571,-4.24242,-1.363495,35.76632
'[17:15:01.260 26/09/2023]',12.33367,76.83112,3.461719,4.96082,6.084083,5.263827,1.686993,14.26388
'[17:15:01.268 26/09/2023]',0.8200415,-30.5327,2.768934,2.915841,4.989774,3.823767,12.45604,-62.14511
'[17:15:01.276 26/09/2023]',-3.512496,21.8874,2.943193,-0.4235891,2.383194,0.7376239,-0.9170839,39.6217
'[17:15:01.284 26/09/2023]',-5.067346,22.86079,-4.271391,-4.654418,-4.164442,-2.006073,-15.84806,-0.1269358
'[17:15:01.292 26/09/2023]',-2.587201,3.663375,0.7661247,-0.04443647,0.6969922,4.724324,-10.45824,-3.396585
'[17:15:01.300 26/09/2023]',-4.925927,-41.11746,-8.802015,-5.831857,-5.807559,-1.571244,-14.98204,-13.64717
'[17:15:01.308 26/09/2023]',-2.516959,25.27318,-3.110047,-7.109656,-6.339763,-0.4821666,-22.93099,4.761228
'[17:15:01.316 26/09/2023]',3.793023,14.26746,8.759221,4.758097,5.471936,2.093367,1.410906,35.00464
'[17:15:01.324 26/09/2023]',5.991958,-34.57897,7.352388,4.515737,9.41419,15.91911,-0.6232999,-75.60743
'[17:15:01.332 26/09/2023]',8.234029,13.13576,-0.3265938,4.749984,3.280218,4.504522,0.6185361,5.193725
'[17:15:01.340 26/09/2023]',-0.7392157,30.28163,1.532448,-0.05845895,1.107579,0.1257445,13.4849,9.921577
'[17:15:01.348 26/09/2023]',11.23547,-2.769268,11.91343,11.27971,8.374509,8.792341,-3.681112,-13.91662
'[17:15:01.356 26/09/2023]',-0.4178076,22.72269,-3.815526,-3.020842,2.387312,-0.284329,6.173993,57.06661
'[17:15:01.364 26/09/2023]',-8.828428,106.6437,-11.50366,-9.581676,-8.064077,-7.051855,-12.73078,82.08424
'[17:15:01.372 26/09/2023]',-6.056996,34.35051,-3.06541,-0.1698977,-5.289946,-3.542421,-6.750653,20.95267
'[17:15:01.380 26/09/2023]',-7.043636,-64.4437,-8.426975,-6.111407,-3.912722,-5.654074,-3.289114,-45.46876
'[17:15:01.388 26/09/2023]',5.846127,67.44219,3.668578,2.18902,0.1723704,-1.643189,2.057737,18.11019
'[17:15:01.396 26/09/2023]',2.972567,-54.17327,-1.70966,-1.485121,-0.939484,-0.2653215,-13.43996,-78.43311
'[17:15:01.404 26/09/2023]',10.58537,13.63722,14.06487,13.16732,11.76999,2.287729,-3.324949,-7.620205
'[17:15:01.412 26/09/2023]',-3.237463,-24.44522,-2.974308,-4.432673,-2.818562,-0.5836034,6.1214,6.133591
'[17:15:01.420 26/09/2023]',3.257227,7.508373,1.663484,6.404692,2.878289,4.031197,10.35184,35.28312
'[17:15:01.428 26/09/2023]',-1.269398,-93.73207,-2.23939,-0.5547783,-1.856721,1.326587,7.75501,-61.87588
'[17:15:01.436 26/09/2023]',5.190447,-236.8969,1.093966,5.84835,4.464241,5.279727,-1.452324,-238.5471
'[17:15:01.444 26/09/2023]',2.220431,-142.7532,1.811561,2.629108,-0.4741518,2.408762,22.38574,-38.0955
'[17:15:01.452 26/09/2023]',-17.68966,140.7312,-19.19247,-18.492,-20.52561,-21.2879,-20.58619,331.4791
'[17:15:01.460 26/09/2023]',4.43709,545.9099,-2.187247,0.1126659,-2.76918,-0.4487852,-8.455925,203.9032
'[17:15:01.468 26/09/2023]',53.49176,-4103.833,46.42556,50.66421,44.06735,42.98468,45.43895,-1886.862
'[17:15:01.476 26/09/2023]',-19.05873,1093.083,-20.28356,-19.78337,-20.89791,-18.57869,-31.28767,483.0028
'[17:15:01.484 26/09/2023]',-14.4767,-16.66545,-8.770419,-10.89424,-6.540168,-7.829452,-29.92211,52.6428
'[17:15:01.492 26/09/2023]',4.511752,-165.1271,7.554018,7.857975,7.215261,6.173857,-5.185394,-16.25689
'[17:15:01.500 26/09/2023]',1.970811,-175.7354,3.001483,4.102829,6.102926,11.30239,-1.08487,-94.73483
'[17:15:01.508 26/09/2023]',-19.373,23.64472,-9.052091,-20.81149,-10.50618,-16.70127,-19.10227,49.07359
'[17:15:01.516 26/09/2023]',0.1729124,53.30413,0.3588038,-3.225058,0.2470265,-0.3643083,-1.724847,21.1843
'[17:15:01.524 26/09/2023]',-0.9593036,122.8773,1.720129,-5.443856,2.500342,-1.88949,-0.8080032,85.54585
'[17:15:01.532 26/09/2023]',19.69282,-96.64309,23.68388,20.40906,23.34744,19.89553,22.2134,-135.6954
'[17:15:01.540 26/09/2023]',2.479412,63.12339,5.685996,1.198162,5.085289,1.508461,-0.9060549,33.04791
'[17:15:01.548 26/09/2023]',-11.04771,51.9475,-11.09144,-10.57968,-16.06396,-9.664931,-16.01198,-1.797987
'[17:15:01.556 26/09/2023]',-16.99535,26.7495,-13.40004,-9.23702,-13.18034,-8.775052,-18.50417,18.00134
'[17:15:01.564 26/09/2023]',-10.54807,-24.8396,-13.44367,-10.71729,-11.81143,-10.2324,-19.93736,15.35976
'[17:15:01.572 26/09/2023]',3.419935,49.85457,-2.528485,2.537374,1.758357,3.325639,0.8426858,79.74092
'[17:15:01.580 26/09/2023]',12.768,2.140068,10.73969,10.30096,12.3594,10.19528,-0.7268949,-30.72514
'[17:15:01.588 26/09/2023]',3.755425,-60.81301,7.953728,6.302824,6.894659,10.60559,-1.341175,-67.95267
'[17:15:01.596 26/09/2023]',1.958288,33.88238,4.98844,5.315042,0.5790008,-2.757214,1.221315,8.827826
'[17:15:01.604 26/09/2023]',-5.483158,-18.88904,-3.720903,-5.034642,-6.050927,-5.206664,-9.613728,-34.51838
'[17:15:01.612 26/09/2023]',-2.205328,-4.199172,0.7013372,0.2982767,0.4138858,-2.344201,7.41481,16.03343
'[17:15:01.620 26/09/2023]',1.060947,-29.74165,3.499444,2.004533,5.47495,3.480243,14.2488,-17.51236
'[17:15:01.628 26/09/2023]',0.727957,-74.85664,-5.46462,-3.5209,-0.4033615,-2.569679,1.561878,-42.29153
'[17:15:01.636 26/09/2023]',1.301068,-39.86634,-1.621796,-3.261146,2.502033,-5.793345,6.071048,-10.67059
'[17:15:01.644 26/09/2023]',-4.643993,15.90482,1.781034,-0.9979261,-3.867019,-5.459786,5.880159,18.13078
'[17:15:01.652 26/09/2023]',-0.02745474,18.42908,-2.315569,-3.849118,0.2856601,1.510482,-6.496454,4.980697
'[17:15:01.660 26/09/2023]',-1.192068,59.1032,-1.560296,-5.702354,-1.273803,-1.98709,-13.60112,51.73367
'[17:15:01.668 26/09/2023]',-4.444485,-21.84769,-4.783499,-4.070071,-2.972511,4.55165,-0.1936646,-13.71149
'[17:15:01.676 26/09/2023]',-2.700842,10.57839,-4.896083,-5.263275,-0.092067,-4.452495,-9.930781,9.578191
'[17:15:01.684 26/09/2023]',-1.349495,42.62914,5.279896,6.221631,4.773862,7.564336,12.61452,-0.05831742
'[17:15:01.692 26/09/2023]',-10.00634,57.16188,-7.160851,-5.001949,-8.32553,-10.76831,-18.10505,75.58791
'[17:15:01.700 26/09/2023]',0.5105103,-60.79735,-3.154497,-1.540259,1.353301,1.746537,-7.790309,-30.98335
'[17:15:01.708 26/09/2023]',5.056146,-16.34485,8.762473,4.882386,2.692734,3.28739,6.626736,-11.43401
'[17:15:01.716 26/09/2023]',5.331351,82.4445,7.725854,-0.07805203,2.92825,5.430171,13.71143,69.79261
'[17:15:01.724 26/09/2023]',1.95238,18.97552,5.277214,0.9281739,4.250632,-2.0261,11.16352,-9.573851
'[17:15:01.732 26/09/2023]',-4.76116,30.57961,-2.727388,-3.812991,-1.134401,-6.797233,-3.590074,11.29252
'[17:15:01.740 26/09/2023]',-16.48161,23.74219,-13.49972,-12.92844,-19.03763,-15.71022,-10.83853,119.4435
'[17:15:01.748 26/09/2023]',5.133561,28.69343,-3.462186,-0.00474849,-4.737489,-0.1056272,4.518528,3.050955
'[17:15:01.756 26/09/2023]',0.1877771,21.13489,1.8615,0.05161406,2.530888,2.342947,7.402843,-4.571671
